"airtableID","Id","[person]","[universities]","Year ended","Graduated","Degree","Complete"
"recbD8dBBI2Z7JBhX","""South African College,  ()""","['recTlEszPfNGWXqxv']","['recvJV4YAvWaLBJky']","1874","True","[unknown]",""
"recbJbDISxGQ8gn6B","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recFI0UKub8dFqzKy']","['reclpHNGTKzlJ6PFd']","1958","True","[unknown]",""
"recbXhl0NBeA5F5pt","""SUNY at Buffalo,  (United States | New York |  | Buffalo |  |  |)""","['recLTfg4s1V8DoHZC']","['recEhu57UMBKmdvzJ']","1976","True","PhD",""
"recdcKE6LJtAZ3UCB","""University of Bristol
,  (England |  |  | Bristol |  |  |)""","['rec9R8HNlWmIM3Kc1']","['recmHZuIc40bjJ0M6']","1962","True","PhD",""
"recdlkYgscpxaEubi","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recZ9vZliUqTyGjRQ']","['reclpHNGTKzlJ6PFd']","1961","True","[unknown]",""
"recdzmgRbsWwFt8Q4","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['rec4PSLJqOJn0gY2R']","['recmFvtzUMqaFmOoC']","1950","True","[unknown]",""
"receE9ZVNDxvnEkpx","""University of South Africa,  (South Africa |  |  | Pretoria |  |  |)""","['recO9FKEa52lghKi9']","['recGqSSihJtYd3SZ5']"," - ","True","[unknown]",""
"recfKBWxi1rnD9MNq","""Institute of Education London
,  (England |  |  | London |  |  |)""","['recURRbIgveOeoPqf']","['recwqxkHnFaWKU3eg']"," - ","","MPhil
",""
"recfcbaY99BwFHeHb","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['rec7C07UyBGMs8tw8']","['recM11VAW2fWzPDKL']"," - ","","MA",""
"recfoesW2MZISzzJ3","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['recrAaXXhIPMbulnW']","['recM11VAW2fWzPDKL']","1989","True","PhD.  honorary",""
"recfvdVY3Ibv1R8A6","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recTaUK751BGeaobm']","['recmFvtzUMqaFmOoC']","1929","True","[unknown]",""
"recgCnZBdZlUBCHqj","""Makerere University,  (Uganda |  |  | Kampala |  |  |)""","['recKFUhU4E0dTcJIJ']","['rec6DbUCsPKHJWa5e']","1967","True","[unknown]",""
"recgz0kNnEwqdws3h","""University of Toulouse,  (France |  |  | Toulouse |  |  |)""","['reckfQPSei4IyFMAs']","['recWZUqvy9UDKKCoH']","1933","True","[unknown]",""
"recgzce3jHYere2GQ","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recIGSwI3zYEGJaaM']","['recmFvtzUMqaFmOoC']","1959","True","[unknown]",""
"recgQKNOtX8FVir9H","""New College,  (England |  | Oxfordshire | Oxford |  |  |)""","['rec9R8HNlWmIM3Kc1']","['recTOPJPNxnOoaEO1']","1959","True","BA/MA
",""
"recg0OwSTcQVbHtA4","""Oxford University,  (England |  | Oxfordshire | Oxford |  |  |)""","['recU0GqypnmAL84T5']","['rec4dAhXgzgV2Nb1Z']","1971","True","MA",""
"recii78vtyQZS1Mc4","""University College London,  (England |  |  | London |  |  |)""","['recw6xteDA4loPFr8']","['recZDrWl4hRL6BX1D']","1970","True","MA
",""
"recioRhyWdOr0wy5X","""University College of Ghana
,  (Ghana |  |  | Accra |  |  |)""","['recMtz94K601qz8dX']","['recWTYOjdE4iyvqWj']","1953","True","BA",""
"reciuOGu4vNarQFzk","""Trinity College,  (England |  | Cambridgeshire | Cambridge |  |  |)""","['reccvo8NMj2CiOdaP']","['recqyrIflPNKodBo7']","1959","True","[unknown]",""
"recjVU8fYwFuRjmxf","""University of Iowa
,  (United States | Iowa |  | Iowa City |  |  |)""","['reczK3i9PQzDoN6ks']","['recmgkTcTsz9sZ4in']","1974","True","[unknown]
",""
"reck5WqpkSJHSamOL","""University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  |  |)""","['recU0GqypnmAL84T5']","['rec7mDWKcXSN0q9p0']"," - ","","[unknown]",""
"recLK4cuy0Tlre74A","""Columbia University,  (United States | New York |  | New York |  |  |)""","['rec7pcqq0K5J5hgiJ']","['rec63dqyzlDx5zdLd']","1966","True","MA",""
"recL63XsJQrYuT8c4","""Jesus College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recN80tQNHxdhyGvr']","['rec5j91R5HXY0ErGF']","1967","True","BA/MA",""
"recMQd5QNZ3TUDEB9","""Wadham College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recN2CQ0lURxrndsj']","['recagQK4nAq8dYqq8']","1930","True","[unknown]",""
"recNFspAWv3rJrMJb","""Gorky Literary Institute,  (Russia |  |  | Moscow |  |  |)""","['recNk4oqSzYFgciSx']","['recFn6m3UzWrYN6X2']","1967","True","[unknown]",""
"recNslWbBeFzkZMpD","""Rhodes University,  (South Africa |  |  | Grahamstown |  |  |)""","['recbF6fKg6E5WaoqP']","['recG8TKvilamMpoB8']","1938","True","[unknown]",""
"recNs2GyxwempfjiY","""Columbia University,  (United States | New York |  | New York |  |  |)""","['reczK3i9PQzDoN6ks']","['rec63dqyzlDx5zdLd']"," - ","","[unknown]",""
"recNVhxPBwoNjbc6t","""Cornell University
,  (United States | New York |  | Ithaca |  |  |)""","['recZoWYIG4TUSm4dg']","['recAYV8Mv6DlMEPt2']","1965","True","PhD",""
"recO3yGwom57b7lf4","""Balliol College
,  (England |  | Oxfordshire | Oxford |  |  |)""","['reczY4HgBRDaqL1fV']","['recuG6zkSzfTUg5Gd']"," - ","","[unknown]
",""
"recQfacUKkxjIK2Ik","""University of the Orange Free State,  (""""South Africa |  |  | Bloemfontein, Free State |  |  |"""")""","['rectR28bCv8ff49mc']","['recEq8ipuDLENtUwE']","1973","True","BA
",""
"recReJRbOtilvdFbH","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recX8RB530gqZ4KJi']","['recmFvtzUMqaFmOoC']","1961","True","MA",""
"recRAb3pNnADK5cyb","""University of the Western Cape
,  (South Africa |  |  | Cape Town |  |  |)""","['recN80tQNHxdhyGvr']","['recOB6AcoKRzor36T']","1965","True","BA
",""
"recR1H57Z9XD2XIUd","""University of Sheffield,  (England |  |  | Sheffield |  |  |)""","['recX8RB530gqZ4KJi']","['recxpM30Kg4EUW1Rb']","1982","True","PhD",""
"recTLVpnvHbC6WCs2","""École Normale de Katibougou,  (Mali |  |  | Katibougou |  |  |)""","['recce49CVohdYLw2s']","['recG4dS6Wiu4K8UBv']"," - ","","[unknown]",""
