"airtableID","Primary Field","Place","Local place","City","County/township","State/province/territory","Country","Latitude","Longitude","Name [Region]","[Universities]","[events]","[people] Country of Nationality","[people] Place of Birth",":[works]","[publications]","[publishers]"
"recK2YnurFaPeT5UN","Uganda |  | Wakiso District |  | Busi Island | Bussi Island |","Bussi Island","Busi Island","","Wakiso District","","Uganda","0.04917","32.32667","East Africa","","","","['recpBBsGDX0I74oed']","","",""
"recxPOx9xARN3FV2T","United States |  |  |  |  | Washington |","Washington","","","","","United States","47.7510741","-120.7401385","North America","","","['recudGgzO4XgX1dXC']","['recZxqG7qr7gA3Haq']","","",""
"recYFNdwC34eYWVwZ","New Zealand |  |  |  |  | Wanganui |","Wanganui","","","","","New Zealand"," - "," - ","Oceania","","","","['recxlGhVC45Z20VPD']","","",""
"recjcB616elkT059D","England |  |  | London |  |  |","","","London","","","England","51.5471806","-0.0081304","United Kingdom","","['reclHvpwkyG9VJGHv']","","['rec9GWnjDwQIeeeaU', 'recKqzYvgtb3A4PAb', 'rechrFvsM9IgeekmP', 'recFfeXqBPYuaT7Xd', 'rect2zZ97qsvZma9N', 'recP2kDsbOBZ9LpV4']","","","['rec4PElYeBjToevrO', 'recvVMippnqKSGtYv', 'recfTnlZqCKTtrwCe', 'recPrJMk1ErHDb8Tk', 'recr7JzLQcLOPHU2r', 'reckNjILiZzGvKsUt', 'rec2x2cvmqfgeoPEx']"
"recLfWyLrsRLtd51X","Portugal |  |  | Lisbon |  | Setubal |","Setubal","","Lisbon","","","Portugal","38.7222524","-9.1393366","Europe","","['recTCkP8EbS1ZCUDK']","","","","",""
"recTY1ORZv4IBnceP","England |  |  | London |  | Queen Elizabeth Hall |","Queen Elizabeth Hall","","London","","","England","51.5067425","-0.1161024","United Kingdom","","['recETcngUZCEJMt1r']","","","","",""
"recsBnV1nKUf3GeMS","England  |  | Dorset |  |  | Poole |","Poole","","","Dorset","","England "," - "," - ","United Kingdom","","","","['recno5KS7BHreRFzg']","","",""
"recNrUgXDk0Lw29Sk","England |  |  | London |  | Nash House |","Nash House","","London","","","England","51.5290118","-0.2504219","United Kingdom","","['recIztps15FgnRsOA']","","","","",""
"rec5f4AHtXBwKLpS7","France |  |  | Cher |  | La Chapelle-d'Angillon |","La Chapelle-d'Angillon","","Cher","","","France","47.363586","2.433502","Europe","","","","['rec9fhI0T3hsTscfR']","","",""
"recVXYbHkWbTO55jN","England |  |  | London |  | Institute for Contemporary Arts. |","Institute for Contemporary Arts.","","London","","","England","51.5063335","-0.1309615","United Kingdom","","['recYIkzFlhemFCEOJ']","","","","",""
"recCzDgrRwMRI8ibg","England |  |  | London |  | Institute for Contemporary Arts |","Institute for Contemporary Arts","","London","","","England","51.5063335","-0.1309615","United Kingdom","","['recUZBikChUm00XZ8']","","","","",""
"recBlP1WOQ6JRMeB0","England |  |  | London |  | Hackney |","Hackney","","London","","","England","51.573445","-0.0724376","United Kingdom","","","","['recnDRo279dqqGP20']","","",""
"reckMCDwgXYTZio0M","England |  |  | London |  | Commonwealth Institute |","Commonwealth Institute","","London","","","England","51.4998973","-0.200244","United Kingdom","","['recF7ZQrK55WrAcFb']","","","","",""
"reczOH4zYOCBrtQ75","England |  |  |  |  | Carlisle |","Carlisle","","","","","England"," - "," - ","United Kingdom","","","","['recmScrK6E3w18lqG']","","",""
"recbRp72VTowD4gAe","England |  | Kent | Canterbury |  | Canterbury |","Canterbury","","Canterbury","Kent","","England","51.2802","1.0789","United Kingdom","['recsEVCWVTSAhOiq8']","","","","","",""
"recL25HtzSDyrmltw","Central African Republic |  |  |  |  | Bobangui |","Bobangui","","","","","Central African Republic","4.0421547","18.1134546","Central Africa","","","","['rec1QbTtVhqKZuWFN']","","",""
"rec0OiWNRApOUioz4","Nigeria |  |  |  |  | Abeokuta |","Abeokuta","","","","","Nigeria","7.147502","3.3619356","West Africa","","","","['recFI0UKub8dFqzKy', 'recVwoYXuX5s4xHUl', 'rec0eJOax05iFJded', 'rec3ZtonSYvLEdt67', 'recPqIDKHXZk2QcNe', 'recrkX4daZNLsq0cZ']","","",""
"recbIpbmo6LLdlz2m","United States | Missouri |  | St. Louis |  |  |","","","St. Louis","","Missouri","United States","38.6270025","-90.1994042","North America","","","","['recx4toxfq1chRr5W', 'rechnk9cJzoF8ssX5']","","",""
"recbL2qfCtuVzDuuW","Jamaica |  |  |  |  |  |","","","","","","Jamaica","18.109581","-77.297508","Caribbean","","","","['recVudi6kQ1lueeBF', 'rec9hddEE67sHfLCy', 'recpk1W3JUReuNMS3', 'rec3uZ9DCKLPsQEUj', 'recUp6195LGoxSR19', 'recaVf3OuKumwmIi4', 'rec6PlXzrbdWTTNcm', 'recDMSrOFClcqvQQ2', 'recnNo2AZcgZULnQh', 'recrYx78qDu7qEAGY', 'recBLzlpjoAVHjL78']","","",""
"recbtQlXLgHNARiFi","Czech Republic |  |  |  |  |  |","","","","","","Czech Republic","49.817492","15.472962","Europe","","","","['recTpqDAgxbdpbCe0', 'rec63qK1F4TjCWJkm', 'recqBZNWCjaQwg4Du', 'recyxY2anj2aMDaAW']","","",""
"recbYK7V9Plymm4q2","Kenya |  | Nandi County | Kapsabet |  |  |","","","Kapsabet","Nandi County","","Kenya","0.202957","35.0978385","East Africa","['reclXkR5WWqI1ZHXO']","","","","","",""
"recbahZRa0pm47u5x","Spain |  |  | Baena |  |  |","","","Baena","","","Spain","37.617362","-4.3244513","Europe","","","","['recCeA1y1SQuRapdJ']","","",""
"reccFtDXkKl5m0OSx","South Africa |  |  | Cape Town |  |  |","","","Cape Town","","","South Africa","-33.9248685","18.4240553","Southern Africa","['recOB6AcoKRzor36T']","['recb4S5dmTk22UkrB', 'recewRvac0GsLWCDx', 'reclYEGQReKBzmULU', 'recOhxcRu4BXtE4ST']","","['reciZhwdneWYaUOFe']","","",""
"reccJ3NpqtjBETJZn","Algeria |  |  | Mazouna |  |  |","","","Mazouna","","","Algeria","36.12647","0.8906102","North Africa","","['rec5QTXygRJUaGBBm']","","","","",""
"reccmZIG8WaCtw0My","United States | Massachusetts |  | Cambridge |  |  |","","","Cambridge","","Massachusetts","United States","42.3736158","-71.1097335","North America","['rech58muDl0CYb53E']","","","","","","['rec7ssgNqHlPi0rvl']"
"reccuXG2jLTKwHpVN","Barbados |  |  |  |  |  |","","","","","","Barbados","13.193887","-59.543198","Caribbean","","","","['recLmSnzhCEAs0MeP', 'rec4DM7r01l0gfaxz', 'rec6yVFxzcQdvlcrG']","","",""
"reccuqlnuwJCHOrtJ","Trieste, Kingdom of Italy |  |  |  |  |  |","","","","","","Trieste, Kingdom of Italy","45.6495264","13.7768182","Europe","","","['recbOU2C0aStT22I5']","['recbOU2C0aStT22I5']","","",""
"recczj69e3i13HFrd","Ghana |  |  | Cape Coast |  |  |","","","Cape Coast","","","Ghana","5.13151","-1.2794744","West Africa","","","","['recZPYdhrLPpBpY4E']","","",""
