"airtableID","Id","Author","[person]","[news item]","Name [Role]"
"recPnJlpc3DeEBx9O","[]  ()","","","",""
"rectByzd6rGIXBNux","[]  () - author","True","","",""
"recThTEU0rjfVsNxm","[]  () - author","True","","",""
"rec1G1hDdccmJAwWN","[]  () - author","True","","",""
"reclXDwor6sOt9mhy","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" () - author","True","['recOo2kpeQuQEciaC']","",""
"recFrarkE4HQf4za2","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Mentioned Poet)","","['recOo2kpeQuQEciaC']","","Mentioned Poet"
"recHbxuTgQomNMioS","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet) - author","True","['recOo2kpeQuQEciaC']","","Poet"
"recnNZgxbWS1vAnFr","[] ""Auden, Wystan Hugh 'W. H.' 
(1907-1973)"" (Mentioned Poet)","","['recA21MaYTugsYbrg']","","Mentioned Poet"
"rec99vOOpUFUaQTSn","[] ""Brooks, Richard 
(-)"" (Reporter)","","['recqAADXb7iwHeIZ3']","","Reporter"
"reckBH6O6sKFbrpG9","[] ""Brutus, Dennis Vincent 
(1924-2009)"" (Mentioned Poet)","","['recaLBDKPomp4cstB']","","Mentioned Poet"
"recrVT7v3CjRRLjzy","[] ""Butler, Guy 
(1918-2001)"" (Mentioned Poet) - author","True","['recjKvU9JG4GftnEK']","","Mentioned Poet"
"recifKtdF3Bmq6Lil","[] ""Butler, Guy 
(1918-2001)"" (Mentioned Poet) - author","True","['recjKvU9JG4GftnEK']","","Mentioned Poet"
"recidajeVe0biD9R9","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"rec8ucahbfHLXpXwW","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"rec0pVyGpwivViLJa","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"recualuITwuzqIdpD","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet) - author","True","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"recllV6fdLpVQwiAa","[] ""Couzyn, Jeni 
(1942-)"" (Mentioned Poet)","","['reczJCspFdg3hHW9B']","","Mentioned Poet"
