"airtableID","Unique ID","Name Built","Major african poet","nationality-country","Short biography","name-letter","year_degree_institution","events","work roles","news item roles","birth-decade","nationality-region","Date birth","Date death","birth_spatial.country","birth_spatial.city"
"recemAMbhntp1TXtr","apdp.person.000072","Nelson, Robert Alexander","True","[""South Africa""]","Robert Alexander Nelson was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","N","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000470)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000470)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"recgISXyBjBqVvzuV","apdp.person.000102","Blane, William","True","[""South Africa""]","William Blane was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","B","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[The Silent Land (1906)](apdp.work.000724)|Poet;;;[The Silent Land (1906)](apdp.work.000724)|Work Author;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000723)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000723)|Author","","1850","[""Southern Africa""]","1859-01-01","1936-03-11","[""South Africa""]",""
"recj6nce2HJQvhZQO","apdp.person.000179","Neale, H. Woodhouse 'Mome'","True","[""South Africa""]","H. Woodhouse Neale was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","N","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000471)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000471)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"recLu28d8J1ZVJSYJ","apdp.person.000214","Skinner, Milton Cox","True","[""South Africa""]","Milton Cox Skinner was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","S","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000321)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000321)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"recZRGFsEJBzKofvM","apdp.person.000527","Davis, Philip Rufus","True","","Philip Rufus David was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","D","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000630)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000630)|Author","","","","","","[""South Africa""]",""
"rec1Tx2Lc0ighEq1E","apdp.person.000574","Allhusen, Beatrice","True","[""South Africa""]","Beatrice Allhusen was one of the women involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","A","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000730)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000730)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"rec3p8J4f8VlC37h8","apdp.person.000614","Evans, Hugh John","True","[""South Africa""]","Hugh John Evans was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","E","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000612)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000612)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"recaQR4MFonvM8PUB","apdp.person.000786","Walrond, Francis Ernley","True","[""Scotland""]","Francis Ernley Walrond was born in England but moved to South Africa in 1904. Walrond was both a poet and a bank manager, and he co-founded the Veldsingers' Club. He produced a poetry collection in 1912, ""The Gods of Africa and Other Poems,"" and his poem ""Eve"" was first published for a centenary collection of South African verse.

https://rpo.library.utoronto.ca/poets/walrond-francis-ernley","W","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[The Gods of Africa and other Poems (1912)](apdp.work.000251)|Poet;;;[The Gods of Africa and other Poems (1912)](apdp.work.000251)|Work Author","","1870","[""United Kingdom""]","1875-01-01","1950-01-01","[""Scotland""]",""
"rect3q1WANWYg0biY","apdp.person.000987","Byron, Mary","True","[""South Africa""]","Mary Byron was one of the women involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","B","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000729)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000700)|Poet;;;[Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)](apdp.work.000700)|Author","","","[""Southern Africa""]","","","[""South Africa""]",""
"recBm6uqGsndENSgq","apdp.person.001147","Jacobs, David Morrison","",""," - ","J","","[""Veldsinger's Club (South Africa |  |  | Johannesburg |  |  |)""]","","","","","","","",""
