"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"rec0s1hWe5h4k8JKg","Hornbill House,  (Nigeria |  |  | Lagos |  |  |)","Hornbill House","['recQ44IdKFxMds43h']","['recLfVoikZqs7XwSc', 'recxHhWHqCsKkbD6b', 'recu7K3mjZe9MwUpL', 'recM00qXt08Fhb0dH', 'recBoHwvGRlsmFzOI', 'recrajVszMp535CNJ', 'recoXiKQNMt9tBUN2', 'recGyUUX3n5NwiuYs']","8"
"recwEsh5Tw69SKKxs","Jonathan Cape,  (England |  |  | London |  |  |)","Jonathan Cape","['recqdvLDX4FnsD7mI']","['rec7dKXfjtcDNJpoT', 'recZQlQG89pv44nMp', 'recMb3YyDPoaDgz7L', 'rectSpaedNmvWo2XC', 'recaBbgwSL0kq1E0m', 'recf7wrRI4PK5HP3Q', 'recgzJTovHQTunEWT', 'recpeK8KPUAFjqc9R', 'recRCRPCLJtU4KFJ7', 'reclGAI2lrET2avia', 'rece98o4CzGW66nTn', 'recjI1zoqO8kSqdEq', 'recjudRGsiiL4j51k', 'recOUmj44DCCMw3j4', 'recTfLU4FQGF2lbI3']","15"
"recJkUmlXv4x0tlN2","Human & Rousseau,  (South Africa |  |  | Cape Town |  |  |)","Human & Rousseau","['recaFh0XjN5t82tvf']","['recq15xrG7I9mRKB0', 'recv5Lj2YDtVZuNQE', 'recd7jBrD2nDARU1x', 'rec0GbelFgve8HxEp', 'recJfZRwopjetPmEX', 'recIpsITdqYDKWacp', 'recgqsfbAQGqeJMXo', 'recUiqUQlxhxl8B2P', 'rect16HMGdmpIxsrw', 'recJMoUi8GrRoA8UI', 'recaiBMS1DW0ZTtW7', 'recPuC4YJeRb7VfHg', 'recfztkdJvBNjBga3', 'recdzQhqsEjEdpPue', 'recKGkkj3HyH0dEte', 'rech6ESo4JTPjLQDi', 'reclU2QRKiBEHLXJF', 'recVv40XMqChLyQeF', 'recoXp7rPfjdBdMHa', 'recvWtrsIPtu6WgV2', 'recrpD1LO4EWM8etN', 'recO6q4fAQiyJ17vn', 'recoHMECXOY02iEdB', 'recP6W8IeyzyMH5QV', 'recHIndpeHosGwodt', 'reccCVEVGWlIV8qvI', 'recQdLiktyo00Onh4', 'recFVhLw0XvoPSNpK', 'recS5VdNi7cFZwSb8', 'recE5oVJjD6rneOW2', 'recGdA6gYiOG7ir2D']","31"
"recYuhEHEsKJJlPca","Longmans,  (England |  |  | London |  |  |)","Longmans","['recqdvLDX4FnsD7mI']","['recqIRm99eqGv74to', 'receNVdbbz5SbRZM0', 'recBY2zJI5LNnliVN', 'rec9fcQdXKMzzfm6i', 'rec2ybuoNiZJyNa1i', 'recTC9kjxtGZsH6cE', 'recQlwSC72AWM49MH', 'recAJq3iY9oRovavm', 'recwxHp2xNPnBlCkk', 'recxA12mBUKYPJaf2', 'recRLGVmm1c8PU2qX', 'recquxtJNJm7o8nf5', 'recoRylr2NJA3icLP', 'recz0nFxMRrzHTgTJ', 'recjUsEPUUAR1mXvm', 'recUAHYZOJhPcechu']","16"
"rec7wRKPRfuyYviJU","Independently-Published,  ()","Independently-Published","","['recfNRaP7c7PMoZNW', 'recZpUt6Oh7Wrs757', 'recEAUJMgTkME3XDg', 'recftPiqKqEIH3Yfx']","4"
"rec2wXLybOIpXQsiX","Unknown,  ()","Unknown","","['receLSPqiXVUbsBfM']","1"
"recAozQptTZ6nswBB","Carrefour Press,  (France |  |  | Paris |  |  |)","Carrefour Press","['recJVFJjSos0pByqm']","['recI374Hijq92kxfC']","1"
"rec0UuJOO3sP47G4p","Malthouse Press,  (Nigeria |  |  | Lagos |  |  |)","Malthouse Press","['recQ44IdKFxMds43h']","['rec6TduAprXkv9eyu', 'recUaYaKR1cYz62h0']","2"
"recifZEhB2ZUSENMD","Longmans, Green and Co. Ltd,  (England |  |  | London |  |  |)","Longmans, Green and Co. Ltd","['recqdvLDX4FnsD7mI']","['rec3pq80akmWZNa0O', 'recQFhyTQOWcYS9Lc', 'rec8cS7OhhHTjJmdg', 'recVmbNh1wAXaS6S0', 'recJK2anjXM1IjKG3', 'recYFC1w0Z2QvHZf0']","6"
"recPbBnEpJ3WVtr8N","David Philip,  (South Africa |  |  | Cape Town |  |  |)","David Philip","['recaFh0XjN5t82tvf']","['rec9lNMVXumVDSDJn', 'recYko5C7oqDBKLi4', 'recM3dihIj0U9C4hc', 'recVzrQkZ0Yde6UGz', 'recQOJCbj1PPwvxbv', 'rec28MR38nkTluV2q', 'recJFpbAaTaQ4ok6m', 'recJNLFGlGzAXhmjs', 'recillgZFpRnOXMW4', 'reci21E1wPWvbPrgh', 'recK3dudqrJlKPuzH', 'recwDv8v9H56dThJZ']","12"
"rece7EOBu8vydqpLp","Ad Donker,  (South Africa |  |  | Johannesburg |  |  |)","Ad Donker","['receqvJHUxo7fwpt1']","['recEW4oL0R7iVwMSt', 'recWJ3TEN2sueMoZW', 'recxwFTosM8Vl3dbX', 'recCJLD1rN5B0WFxj', 'recnwyynwynCVUrRp', 'reci157gEBxmluf5R', 'recnOznbHQT50LKJd', 'recnVgy3TZSUXivBc', 'recqn7NUaAyPynMK8', 'recYdSB6ZpJBd90Ed', 'rec4IH2LyTkdK6r9p', 'recUzX9hIDzoDapRa']","12"
"recYSrjwSFwZSgEKy","Hill & Wang,  (United States | New York |  | New York |  |  |)","Hill & Wang","['recqWqrNjE6c3GTCl']","['recd7uEd6lhh9bLM4', 'recwAUBnYDODUKhL1', 'rec01GUjGuLeTTiP5', 'recPHSecpdCqpPDqC']","4"
"rec1JFnBWAmtsI99y","Fire Lizard,  ()","Fire Lizard","","['recH4zRsgvK702Hf8']","1"
"recMGjN1H8qwuEvxj","The Walter Scott Publishing Co., Ltd.,  (United States | New York |  | New York |  |  |)","The Walter Scott Publishing Co., Ltd.","['recqWqrNjE6c3GTCl']","['recpBXMxgXcCHfEiq', 'recAWIifc5zxEDT7F', 'rec9CYI7arsj6KsGU', 'recajhRXSwbhf5FSy']","4"
"recvrb6XVvZqoFlqf","Mid Nag,  ()","Mid Nag","","['recnuLsOhwqFJkux8']","1"
"rectRdaW2KqxqP2t9","Wm Collins & Sons & Co,  (Scotland |  |  | Glasgow |  |  |)","Wm Collins & Sons & Co","['recqCWhXocAdkSjcP']","['recvu8pTkTQOIHlbS']","1"
"reciivDIRnYHFeL8s","Harvester Press,  (England |  |  | Sussex |  |  |)","Harvester Press","['recbc8ncrNL7MsRYE']","['rectlbaQzGc0cLljs']","1"
"recfQfdrVOmme1uCH","Okike Magazine,  (United States | Massachusetts |  | Amherst |  |  |)","Okike Magazine","['recwWUx22NeyxpNs1']","['recBGpFUGJh64Cggr']","1"
"recjrkARtlJ2gcxyJ","Heinemann,  (United States | New Hampshire |  | Portsmouth |  |  |)","Heinemann","['recT5J8B7MkFgORAJ']","['recLPhLqx3q8PkhSZ', 'rechrjBSSNQRHiEol', 'receQo4eTJfH24LCF', 'rec0Q5t7IqKWkaKXR', 'recoT3Eb8LJGzJhY4', 'rec0Mjo7EotcoC7sg', 'recxE7YRFnoMiqntz', 'recEPWvOt1fGt6Xmj', 'recHwR2DATUf7elOy', 'recRtK9X0aMHxMxhL', 'rechKBLUK4byUZcdH', 'recnoGGlPPMwSEN2g', 'recb8x062LhF7sDX8', 'recryDAaCLaf7MEzR', 'rec0yHvjNRzEMY4WF', 'recrjPlJBO9fKw3yp', 'recxJ2GH8h9F9iknR', 'recPRiKDqErteKUry', 'recmoItnxHgsDijXB', 'recCB0Xhbxdb2YsQs', 'recDYGarQGPzzBFAE', 'recmPUG7lII1nXEjV', 'recQdDIJc2eo7FKCl', 'recedmDRFirogO4pP', 'recSUegbiaBt8Vntu', 'recQ8OK71OqHEWMYB', 'recV9hgyrogjGBvgs', 'recv7OD8XMafugQQo', 'recvcbRfRCHTUQf7l', 'rec4eSbI0jf7p4dQZ', 'recQh69Iunkv8xfqZ', 'recd1ikSRyudWvCym', 'rec3nEkrrE7gutXjK', 'rec4YLfXnsoBIS1P0', 'receChLt2nIUXgjI2', 'recMPJzcT9gGGW2o2', 'recnCdqKsNFxs4S3v']","37"
"recw3t5szjEHXsMWm","Editions Hautefeuille (Caracteres),  (France |  |  | Paris |  |  |)","Editions Hautefeuille (Caracteres)","['recJVFJjSos0pByqm']","['recpT2Iu3y2W8OASE', 'rec57tEGQwXUzmwH3']","2"
