"airtableID","Id","Name","[locations]","educations [join]"
"recmFvtzUMqaFmOoC","University of Cape Town,  (South Africa |  |  | Cape Town |  | )","University of Cape Town","['recByKWBNYTnFNrCp']","['rec3bN6h4RzKwzRxn', 'recA5Ylw090KJhyL3', 'recgzce3jHYere2GQ', 'recdzmgRbsWwFt8Q4', 'recCiX23yfHVBASQn', 'reclmTHeLUDRkKoIA', 'recqCRuWe0Kn74kUP', 'rectpwjRmih4gwScH', 'recReJRbOtilvdFbH', 'recYyER83U0tclynk', 'recyDjfUr3B0TKwp7', 'recfvdVY3Ibv1R8A6', 'recMrGDP73kjj9FQp', 'recGkk1leaTZRp3sL', 'recbnleMepYBnZXNq', 'recKi23jM3uS2lQYJ', 'recRBIVUwSG0U5dP9', 'recneoIiSBDtoiipw', 'recfgVaF0CZ6ZgpSX', 'recmuBJXB1gKdMZ9E', 'recsBtIHYLuOd7Fs1', 'recye7jWE6CvFDT0K', 'recfCobBd1NunlcZb', 'rec79CVorioYPJ2yZ', 'recstTg16VJtVxZhL', 'rec1jketFCB1bbBHD', 'recwba0owM5KsTxYs', 'recukpp3AKfsvOjf3', 'rec3BEYd3sgSekejx', 'recmKSW25j2HxHZtw', 'recKlbMD932cr9TLa', 'rec9d6mCWd80zqVj0', 'recKQ54vMIs8VVx14', 'recRWlXDcs9kFQgwF', 'recapRxuITGoLsHHM', 'recxWNksFtmrknXy9', 'recurxymNANmGPutX', 'rec37RTi4qIzmgIVx']"
"recWTYOjdE4iyvqWj","University College of Ghana
,  (Ghana |  |  | Accra |  | )","University College of Ghana
","['recuKEdPzd1pJCj4L']","['recqSCI6VFws1C1K6', 'recioRhyWdOr0wy5X', 'recVOYbInHS4lgS70', 'recRM68tb6EZnl9qn']"
"recZDrWl4hRL6BX1D","University College London,  (England |  |  | London |  | )","University College London","['recR6YHhrfthZo5tS']","['recii78vtyQZS1Mc4', 'recp7ZXL48es4sBOe', 'recu7fkdc595eLRBA', 'recVlH6MD8aszwBvX']"
"rec8ZZC75PKfSknwR","SUNY at Stony Brook,  (United States | New York |  | New York |  | )","SUNY at Stony Brook","['recRPTnrNPU6ArRJv']","['recpBM3VNEzqi29Rq']"
"recTOPJPNxnOoaEO1","New College,  (England |  | Oxfordshire | Oxford |  | )","New College","['recZw13lsI65j01ma']","['recgQKNOtX8FVir9H']"
"rec7mDWKcXSN0q9p0","University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  | )","University of the Witwatersrand","['recFjYFloIc1MhnAb']","['rec1iHMSzdlLBPQic', 'recwXjw2jExLVXxbn', 'recyj97K9TNhmOHdQ', 'recT1fyIWmS0IWXGX', 'reck5WqpkSJHSamOL', 'rec9zvFHgDfgofjo3', 'recmKW9avpqYWuDFm', 'rec03gW5o4cBc5P2z', 'recJmbGfxYNfNYh8C', 'rec7eRZcMgLIVPiQb', 'recZJhgLBIt8MaHKu', 'recvlXb0VFefYqb10', 'recDs9O6lfOlnO4SL', 'reciueLfVghOoKo48', 'rechsdOz6PZMzZLC3', 'recYPUV7v2YGDVdH6', 'recelLOjoYBA6FLce', 'rec6GvgvLYIObcTsy', 'recGFAscfoiEfkFjr', 'recv7Uj07iUSgWyQM', 'recVZtTiWpVGaFeMY', 'recnLxFkmBcWyCf3q', 'recJGDcS01N14b4dp', 'rec6pJJNgqe6jdggk', 'recwOWLb4AwQiREjc', 'recnrtNY8ZrB08l1J', 'recySXOZrLbOKAUE5', 'recp3jwwX2IrxSu7o']"
"rec4dAhXgzgV2Nb1Z","Oxford University,  (England |  | Oxfordshire | Oxford |  | )","Oxford University","['recZw13lsI65j01ma']","['recwefKTeVNX2zIbM', 'rec5yhwc0Oyhzy4gF', 'recg0OwSTcQVbHtA4', 'recwFiizhdfaE9noi', 'rec86wdnnLfcXf5xc', 'rec3UwMnNbqjt5yao', 'recq8TppURipdU2cb', 'recZjicWKD3VQwrGk', 'recfau7iFtBuX4jBy', 'recbQi5i9VW592sk7', 'rec9psoC02M54P4IZ', 'recPlWQU1lC1ECW9P']"
"recCbZxP6zua5eb6N","University of Zambia
,  (Zambia |  |  | Lusaka |  | )","University of Zambia
","['recaIwABJrji6dfYe']","['recYBIGUbwCHaPIws']"
"reczoprATwGTQDiGC","Yale University
,  (United States | Connecticut |  | New Haven |  | )","Yale University
","['recWeERfZymyM2L94']","['recYHRKJj2KRbWwYZ', 'rec64X9h7kT3z1Mb0', 'reclV3RfI8uhDH9mf']"
"recEOeYkvtqF6XibF","Brown Univeristy,  (United States | Rhode Island |  | Providence |  | )","Brown Univeristy","['recK3N6x5J0EJbRQ7']","['recUf8deWeaJLegSC']"
"receUXSEfNPKkQVsK","Princeton University,  (United States | New Jersey |  | Princeton |  | )","Princeton University","['recYGKVmpfAh6jsAx']","['recY9oGcOfhyc0NK7', 'recKsX0KWngW57pPL', 'recpiuvzNrUABK3gK']"
"recG8TKvilamMpoB8","Rhodes University,  (South Africa |  |  | Grahamstown |  | )","Rhodes University","['recSFNm7cRV4I7fI7']","['recXtpBeZi1r4dWRP', 'recNslWbBeFzkZMpD', 'rec8eryL1BLX3aArq', 'recQJEoI1KOQF8NDC', 'recmCvSWDm0IY0oLh', 'recBkhBG7e6y6IZ0s', 'recH3IRqDDS2tQhVl', 'recq1Vgf5yhH70mAx', 'recdqz4GBcyZ6XdiS', 'recOVPdXxrFHveysn', 'reclrn7ra4a8QAp67', 'rec5lnLIgVZGUryB9', 'rec4tE5GNezlTQNOh', 'recFCMiStAUaML3kP', 'rec7gfV0VWloaC8Of']"
"rec1UBjl9jop5IN3S","University of Texas, Austin,  (United States | Texas |  | Austin |  | )","University of Texas, Austin","['recRe7jxzJfKeARmP']","['recxbQk85SrqUxz1k', 'recbWuFyQ8No2TEE8', 'recfAnMB0tnNR0x2t']"
"recM11VAW2fWzPDKL","University of Natal,  (South Africa |  |  | Natal |  | )","University of Natal","['recAdor1XpIQj7cbU']","['recD2XzCQxu2iXORM', 'recCXIf8lwbC0O4wi', 'recfcbaY99BwFHeHb', 'recfoesW2MZISzzJ3', 'rec3SozAkTnBBD9gV', 'recKdWe4DICAXAj7B', 'recxHJLUuxzR3AbFd', 'rece1geuHniBR6Kye', 'recEDmca0PQkY4xZC', 'recZxZFPoJ2j5malN', 'rec63kpZ6BiOVU7GA', 'recsB2oQTJcBHtjNT', 'recD4ISJxwwKHmRo8', 'rec1PNC6pJNjtCad7']"
