"airtableID","Primary Field","Author","[person]","[works]","Name [Role]"
"recbfnKpcoVnIdond","[apdp.work.000351] ""Rousseau, Ina 
(1926-2005)"", ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet) - author","True","['recZS4g43q5Io7CpK', 'recrkX4daZNLsq0cZ']","['recWPWn6c0hoDHe2c']","Poet"
"recbhxKxi3o7O0VW4","[apdp.work.000025] ""Jones, Eldred Durosimi 
(1925-2020)"" (Editor) - author","True","['reciP7sU88UTTnOvf']","['recM8BkUrDWQbn9uS']","Editor"
"recbkAKQWMPesi11R","[apdp.work.000068] ""Plomer, William 
(1903-1973)"" (Poet)","","['rechXmQTzrc8eiWTu']","['rec476sNZ2psfODm3']","Poet"
"recblZdD4avGIlXK8","[apdp.work.000130] ""Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor' 
(1935-2013)"" (Poet)","","['recw6xteDA4loPFr8']","['recNInCLPTwVUICq5']","Poet"
"recbl4AKfLko4yxNX","[apdp.work.000184] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['recFkQMELanS2ps6M']","Poet"
"recbnmBS0ONBROoEc","[apdp.work.000179] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['recVh4YP9T2xZvxyK']","Poet"
"recbnP9YRU3EuDdyb","[] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","","Poet"
"recbsRc8Fq8nEGwB6","[apdp.work.000604] ""Eybers, Elisabeth Françoise 
(1915-2007)"" (Poet) - author","True","['recILPJVJuPdNhbGD']","['rec6m6KLkVJSd9gd8']","Poet"
"recbwFNaZQHS2CFCy","[] ""Okara, Gabriel 
(1921-2019)"" (Poet)","","['recUiPx4caoRhWvaM']","","Poet"
"recbM6cgE2FnMCohF","[apdp.work.000735] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet) - author","True","['recOo2kpeQuQEciaC']","['rec2SDuefM7Jf11Qf']","Poet"
"recbSqHHlg6nZCeUd","[apdp.work.000163] ""Laing, Kojo 'Bernard' 
(1946-2017)"" (Poet)","","['reclkjf5RAoQfCuhd']","['recFJR0SnU3BzPJJP']","Poet"
"recbTPSszXhju9KV4","[apdp.work.000513] ""Lewin, Hugh 
(1939-2019)"" (Poet) - author","True","['recXocQrPdKiutDsX']","['recSYl5b6s8hLdvdq']","Poet"
"recbVfwUCoIyGHrcX","[] ""Liyong, Taban Lo 
(1939-)"" (Poet)","","['recGE7Fcz5oCLV3Qn']","","Poet"
"recbVUQDOUdkodomQ","[apdp.work.000307] ""Small, Adam 
(1936-2016)"" (Poet) - author","True","['recXO2WiZ2k8Mqr6o']","['recRbd33aen8FCZEe']","Poet"
"recbXVkjW0o0qAISI","[apdp.work.000291] ""Marechera, Dambudzo 
(1952-1987)"" (Mentioned Poet)","","['rec27lGFoJpJNTgpi']","['recy6dTTNE0xkunv3']","Mentioned Poet"
"recbY85O6ySHr5sZW","[apdp.work.000583] ""Gwala, Pascal 
(1946-2014)"" (Poet) - author","True","['recO7fQ9N6fKpWsLF']","['recQ87M9JD5EhU39v']","Poet"
"recbYDSXYPZFRcqI1","[apdp.work.000703] ""Butler, Guy 
(1918-2001)"" (Poet) - author","True","['recjKvU9JG4GftnEK']","['recLjjy1QDAq60mkw']","Poet"
"recb7Vqfl0cbOSKvC","[] ""U Tam'si, Tchicaya 
(1931-1988)"" (Poet)","","['recPxmrXdENsL9H4t']","","Poet"
"recb8yCYrdfyzvR4I","[apdp.work.000419] ""Plomer, William 
(1903-1973)"" (Poet) - author","True","['rechXmQTzrc8eiWTu']","['recKnGNkWt6FB438u']","Poet"
"reccHLGdXPRowTH5q","[apdp.work.000741] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Mentioned Poet)","","['rec4lc52d1rr49UHG']","['recrrarXh2nyjJ23P']","Mentioned Poet"
"reccfsWwx5Xs6GbBZ","[apdp.work.000666] ""Cripps, Arthur Shearly 
(1869-1952)"" (Poet) - author","True","['recHqhKMTrYFElsxy']","['recaXWuhx8koo8Tm2']","Poet"
"reccgQDDH7TBZ0X9h","[apdp.work.000411] ""Plomer, William 
(1903-1973)"" (Poet) - author","True","['rechXmQTzrc8eiWTu']","['recLW4U9pXKOFt2U3']","Poet"
"recci7oNivbNWwKnZ","[apdp.work.000701] ""Paton, Alan 
(1903-1988)"" (Poet)","","['recTWiV1axyEJr0fq']","['recz2D6L9OdjMQ4nt']","Poet"
"reccjVEcKY9pTEe07","[apdp.work.000280] ""van den Heever, Toon 
(1894-1956)"" (Poet) - author","True","['recbI0AQPkpfOIg5T']","['rec7cUzh3ZyEb2Bwn']","Poet"
"reccoYL3uEuQq4tVV","[apdp.work.000178] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","['recU5CfCtkhlFljXz']","Poet"
"reccxdEeUVY6tMjer","[apdp.work.000075] ""Senghor, Léopold Sédar 
(1906-2001)"" (Poet)","","['recBdxaNWIHd4zhkg']","['recUwHsIIYIuqh6qr']","Poet"
"reccMz2MClnaCEIr8","[apdp.work.000739] ""Okigbo, Christopher 
(1932-1967)"" (Mentioned Poet)","","['recBvLFtelOVzL0YK']","['recYCvClCsXzG3iu1']","Mentioned Poet"
"reccPuf4cl5fdLQUy","[apdp.work.000069] ""Rive, Richard 
(1931-1989)"" (Poet)","","['rec7pcqq0K5J5hgiJ']","['recT86r4N3mhJBuoN']","Poet"
"reccPC1vIUFY81h5U","[] ""Okara, Gabriel 
(1921-2019)"" (Poet)","","['recUiPx4caoRhWvaM']","","Poet"
"reccSFNws6Wrck5Oc","[apdp.work.000060] ""P'Bitek, Okot 
(1931-1982)"" (Poet)","","['recHO9AeFrAOe1QdE']","['recfLPp0lHroPdFgx']","Poet"
"reccU1pozZ0gZixBQ","[apdp.work.000383] ""Prince, Frank Templeton 'F. T.' 
(1912-2003)"" (Poet) - author","True","['reczY4HgBRDaqL1fV']","['recfSiKCQ2H1hCtuy']","Poet"
"reccUsmOvIvQMfr3x","[apdp.work.000644] ""Dadié, Bernard Binlin 
(1916-2019)"" (Poet) - author","True","['rec11TfWLtdgg0lSe']","['reczE0sD7X8GvWSfS']","Poet"
"reccVf86bue459HwX","[apdp.work.000455] ""Ogundipe-Leslie, Omolara 'Molara' 
(1940-2019)"" (Author)","","['recIEuCEh4zUIwGmh']","['rec2AyMM74e8YKTaT']","Author"
"reccVwqQwWGSaV0Jw","[apdp.work.000132] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","['rec3utTVFI15zJqXC']","Poet"
"reccWnUy2fYYFmf7m","[apdp.work.000712] ""Horn, Peter Rudolf Gisela 
(1934-2019)"" (Mentioned Poet)","","['recBJcbdVcUytCiWZ']","['recNSYFn34xDH9wR2']","Mentioned Poet"
"recc2PFJS6pSahC8k","[apdp.work.000714] ""Brew, Osborne Henry Kwesi 
(1928-2007)"" (Poet)","","['recMtz94K601qz8dX']","['recPpyS3JpOYEZYYE']","Poet"
"recc3f7lb0anNh5yE","[apdp.work.000249] ""Watermeyer, Gottfried Andreas 'G. A.' 
(1917-1972)"" (Poet) - author","True","['rech3QgHUlRA7jtQu']","['recCesdemYG1E8clD']","Poet"
"recdEN3oL96p9cH8P","[] ""U Tam'si, Tchicaya 
(1931-1988)"" (Poet)","","['recPxmrXdENsL9H4t']","","Poet"
"recdHfaypEPkQD7R5","[apdp.work.000702] ""Butler, Guy 
(1918-2001)"" (Author)","","['recjKvU9JG4GftnEK']","['reckgRkbN1P5BEWsq']","Author"
"recdHc1XSO5giFIw3","[apdp.work.000331] ""Senghor, Léopold Sédar 
(1906-2001)"" (Poet) - author","True","['recBdxaNWIHd4zhkg']","['recd50a1EiArf6Fx1']","Poet"
"recde1b7WPzQFv5NH","[apdp.work.000177] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['recimd5BulAB4xvoV']","Poet"
"recdeHJdVyEQ24VYY","[apdp.work.000137] ""Marechera, Dambudzo 
(1952-1987)"" (Poet)","","['rec27lGFoJpJNTgpi']","['rectHk0G8zZkhauwk']","Poet"
"recdg4kUSpLnOGaaj","[] ""Liyong, Taban Lo 
(1939-)"" (Poet)","","['recGE7Fcz5oCLV3Qn']","","Poet"
"recdqWmKccwiYrxQR","[apdp.work.000132] ""Senghor, Léopold Sédar 
(1906-2001)"" (Poet)","","['recBdxaNWIHd4zhkg']","['rec3utTVFI15zJqXC']","Poet"
"recdrk2OnQv3CA7QT","[apdp.work.000483] ""Mapanje, Jack 'John Alfred Clement' 
(1944-)"" (Poet) - author","True","['recURRbIgveOeoPqf']","['recczOtklrPoDw5tZ']","Poet"
"recdseCuXXT6dl6gL","[apdp.work.000636] ""Dadié, Bernard Binlin 
(1916-2019)"" (Poet) - author","True","['rec11TfWLtdgg0lSe']","['rec7541rTgeLGdKUg']","Poet"
"recdAhNQjCmqoILfE","[apdp.work.000177] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","['recimd5BulAB4xvoV']","Poet"
"recdPgXwtaNwBMf2Q","[] ""U Tam'si, Tchicaya 
(1931-1988)"" (Poet)","","['recPxmrXdENsL9H4t']","","Poet"
"recdRXsfZ07pSwrOb","[] ""Okigbo, Christopher 
(1932-1967)"" (Poet)","","['recBvLFtelOVzL0YK']","","Poet"
"recdSN7D8sqILc0V9","[apdp.work.000384] ""Prince, Frank Templeton 'F. T.' 
(1912-2003)"" (Poet) - author","True","['reczY4HgBRDaqL1fV']","['recilri92sPHoqaRe']","Poet"
"recdZqNzrcnYz5HEJ","[apdp.work.000581] ""Haresnape, Geoffrey 
(1939-)"" (Poet) - author","True","['recX8RB530gqZ4KJi']","['recu0SX5021YI7LEP']","Poet"
"recd70gfJRwEcFvZO","[apdp.work.000347] ""Rousseau, Ina 
(1926-2005)"" (Poet) - author","True","['recZS4g43q5Io7CpK']","['recfZT0T416sgM5Cx']","Poet"
"recdaeUMS0oHBXHvs","[apdp.work.000497] ""MacNab, Roy 
(1923-2004)"" (Poet) - author","True","['recyTF3ighE5lXHsa']","['recdcyEWGhZSyjAz6']","Poet"
"receCz46iraJMkh6x","[apdp.work.000236] ""Wright, David 
(1920-1994)"" (Poet) - author","True","['recX3e6HGV46vJgzl']","['recWWwPiRlYOTnpIs']","Poet"
"receFx9Ay0VpbPVCN","[apdp.work.000512] ""Livingstone, Douglas 
(1932-1996)"" (Poet) - author","True","['recrAaXXhIPMbulnW']","['recJUy3U8MlgSfdc1']","Poet"
"receI86thPSn1k4r8","[apdp.work.000621] ""Diakhate, Lamine 
(1928-1987)"" (Poet) - author","True","['recce49CVohdYLw2s']","['recQ6ZPW9Qj01eJ4g']","Poet"
"receJsS6S9UAkRs8Z","[apdp.work.000104] ""Campbell, Roy 
(1901-1957)"" (Poet) - author","True","['recZCHkAMEtH7xn9G']","['recULS6SHYapt904M']","Poet"
"receKEYxbeSBlm7H4","[apdp.work.000230] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Poet)","","['rec4lc52d1rr49UHG']","['reckHoEuJcOrHz0Hw']","Poet"
"receLhCq0bbT8XTWu","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet)","","['recOo2kpeQuQEciaC']","","Poet"
"receL3ftmdjp4jxAp","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Mentioned Poet)","","['recOo2kpeQuQEciaC']","","Mentioned Poet"
