"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"The Fisherman's Invocation: Poems (1978)","The Fisherman's Invocation: Poems","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recq3nbSWfTho6JtM', 'recF4aZyZq2QYXFS6', 'reciLpnVe6QUXUO3L']","","['recj74yJ8VjUT3rGb']"
"Energy Crisis and other poems (1978)","Energy Crisis and other poems","Single Author|Selected Works","1978","['recRh6QKhccuYgR59']","['rechXxEReQlGKd2ar']","","",""," - ","","['recAMhOVvqhpP0kMg']","",""
"Les contes de Koutou-as-Samala (1982)","Les contes de Koutou-as-Samala","Single Author|Selected Works","1982","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recA8z33OP85XNgot']","",""
"Terres Médianes (1984)","Terres Médianes","Single Author|Selected Works","1984","['reckDuHEzOeitasPM']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recldLqN8VxPaLksu']","",""
"The Years Between (1919)","The Years Between","Single Author|Selected Works","1919","['recXtCF2txBz7xGpR']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recxVWOGDkL2uY3q8']","",""
"Only a Setting Forth (1965)","Only a Setting Forth","Single Author|Selected Works","1965","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recjLvnvubyTy4qOD']","",""
"Sylves (1927)","Sylves","Single Author|Selected Works","1927","","","","",""," - ","","['recwARfH3MGhGqT8C']","",""
"Soldiers of Light (2004)","Soldiers of Light","Single Author|Full Length","2004","","","","",""," - ","","","True","['recnspZU8YPJwH22W']"
"New Shades (1982)","New Shades","Single Author|Selected Works","1982","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recJdPOvZEygRQFra']","",""
"Mulberries in Autumn (1996)","Mulberries in Autumn","Single Author|Selected Works","1996","['recR39NoWWMuOJoDO']","['recdmzHJTksmBYBa6']","","",""," - ","","['rec7Syy8NHruntsNa']","",""
