Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
Among the Magazines (1980-06-06),apdp.cite.000001,Among the Magazines,Book Review,Newspaper,1980-06-06,The Times Literary Supplement,p. 646,http://link.galegroup.com/apps/doc/EX1200429466/GDCS?u=linc74325&sid=GDCS&xid=2bbcdc94,GALE|EX1200429466,2019-07-06,"""Gale Primary Sources Database

Print:""","…and ""Sculptor in prison"", an interview with Pitika Ntuli, the black South African poet and artist, who describes how he coped with the ordeal of solitary confinement in Swaziland. ",
Wayward and wild (2004-09-10),apdp.cite.000002,Wayward and wild,Book Review,Newspaper,2004-09-10,The Times Literary Supplement,p. 32,http://link.galegroup.com/apps/doc/EX1200520023/GDCS?u=linc74325&sid=GDCS&xid=9c8e04de,GALE|EX1200520023,2019-07-06,"""Gale Primary Sources Database

Print:""","Mary married the volatile South African poet Roy Campbell, and had a range of affairs, including with Vita Sackville-West. (""Fancy being cuckolded by a woman!"" was C.S. Lewis's reation when Campbell told him.) ",
Excile in Colechester (2001-08-03),apdp.cite.000003,Excile in Colechester,Book Review,Newspaper,2001-08-03,The Times Literary Supplement,p. 21,http://link.galegroup.com/apps/doc/EX1200505177/GDCS?u=linc74325&sid=GDCS&xid=4c722ff4,GALE|EX1200505177,2019-07-06,"""Gale Primary Sources Database

Print:""","R. N. Currey was born in South Africa in 1907, the chid of a missionary family, and lived there until he went to school in England in 1921. As a result of that circumstance, and a few subsequent visits, he is often claimed as a South African poet.  That his Collected Poems is jointly pubished by David Phillip (Probably the best and certainly the most influential publisher in South Africa) and his son's firm (based in Oxford, but mainly concerned with African material) seems to bear out this claim). ",
Paths to Refinement (1969-07-24),apdp.cite.000004,Paths to Refinement,Book Review,Newspaper,1969-07-24,The Times Literary Supplement,p. 836,http://link.galegroup.com/apps/doc/EX1200360477/GDCS?u=linc74325&sid=GDCS&xid=7be13190,GALE|EX1200360477,2019-07-01,"""Gale Primary Sources Database

Print:""","Both the virtues and weaknesses of the later Christopher Okigbo's poetry are visible in the first collection of his fellow-Ibo and young compatriot Micheal Echeruo….


",
Poetry of the New Lands (1916-02-17),apdp.cite.000005,Poetry of the New Lands,Critical Article,Newspaper,1916-02-17,The Times,p. 11,http://link.galegroup.com/apps/doc/CS186713681/GDCS?u=linc74325&sid=GDCS&xid=cf977bbe,GALE|CS186713681,2019-06-29,The Times Digital Archive,"Turning to South Africa, Sir Hubert said Rudyard Kipling was in a sense a poet of South Africa, the Poet of ""General Joubert"" and the ""Bridge Guard in the Karroo."" and ""Columns"" and ""Piet."" He had consulted Mr. Kipling as to what South African Poetry there was beside his own.
Mr. Kiplig replied, ""It's a case of there's Pringle, and there's Pringle, and there's a lot of good verse, light and half-light, but scattered, and there are the poems in the Taal, part translations and parodies, part original.""
Pringle was the son of a Scotch Border farmer, roughly contemporary with Keats. He acquired a good literary position in Edingurgh and made the friendship of Scott. But literature did not pay, and in 1819 he went out to South African with a Scotch party. He spent some time with them in the bush and then attempted a new iterary career in Cape Town, but quarrelled with the governor, and returning to England threw himsef into the cause of the abolition of slavery. Just when success was reached he died at the early age of 46 in 1834.",© Times Newspapers Limited.
All the Trouble in the World- Dr. Mairi J Blackings comments a bold exploration of the turmoil in Africa (1996-11-02),apdp.cite.000007,All the Trouble in the World- Dr. Mairi J Blackings comments a bold exploration of the turmoil in Africa,Book Review,Newspaper,1996-11-02,Financial Times,p. XVI,http://link.galegroup.com/apps/doc/HS2305174558/GDCS?u=linc74325&sid=GDCS&xid=8b631052,GALE|HS2305174558,2019-06-29,Financial Times Historical Archive, - ,© The Financial Times Limited. All rights reserved.
"Death Of A Moslem Poet: Last ""Minstrel"" Of North Africa (1932-01-21)",apdp.cite.000008,"Death Of A Moslem Poet: Last ""Minstrel"" Of North Africa",Obituary,Newspaper,1932-01-21,The Times,p. 11,https://link.gale.com/apps/doc/CS186197557/GDCS?u=linc74325&sid=GDCS&xid=09193e31,GALE|CS186197557,2016-12-15,The Times Digital Archive,"DEATH OF A MOSLEM POET
LAST ""MINSTREL"" OF NORTH AFRICA
FROM OUR ALGIERS CORRESPONDENT

Just after noon on January 12, almost at the beginning of Ramadan the famous Moslem poet Sheik Benguedda El Hadj Belarbi, died at Mazuna.  He was over 80, and had been il for a long time. For may years he lived at Ain-Morane, where he was the central figure in a group of native chiefs, the descendants of those who had fought in the border battles btween Bu-Maaza, the Sultan of the Dahra and the Warsenis, and Saint-Arnaud and Pelissier. He was the living history of those stirring times.
Later on he came to Mazuna and became the proprietor of a Moorish cafe, which was opened by M.Jules Cambon, then Governor-General of Algeria, and was for many years a place  of pilgrimage for poets from all over North Africa. His chief delight was in long improvisations, for which he relied on his remarkable retentive memory. In his library were to be found nearly all the works of the North African Moslem poets especialy those of Morocco and Western Algeria, and he would readily recite long narrative poems of over 1,200 lines, such as the famous Moslem poems of the seventeenth century. He died poor, having spent nearly all his money in paying scribes to record the traditional Moslem poetry. Wirh him has passed probably the last of those who have long borne the banner of Moslem ministrelsy in North Africa.",© Times Newspapers Limited.
The allusive traditions of Africa (1971-04-23),apdp.cite.000009,The allusive traditions of Africa,Book Review,Newspaper,1971-04-23,The Times Literary Supplement,p. 486,http://link.galegroup.com/apps/doc/EX1200371915/GDCS?u=linc74325&sid=GDCS&xid=fd1e9cb3,GALE|EX1200371915,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Book review of Ruth Finnegan's work; briefly mentions of p'Bitek: ""Clearly, we shall have to move not only towards the acceptance of aesthetic standards in the collection of [African] oral literature but towards the acceptance of two partially separate standards. For the indigenous collector, like Okot p""Bitek of the Acoli or J. H. Nketia of the Adan, a standard based on deep and intimate knowledge of the particular culture and its chief literary artists must be adopted."" ",
Sophiatown Style (1982-08-27),apdp.cite.000010,Sophiatown Style,Book Review,Newspaper,1982-08-27,The Times Literary Supplement,p. 928,http://link.galegroup.com/apps/doc/EX1200162121/GDCS?u=linc74325&sid=GDCS&xid=d506a159,GALE|EX1200162121,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Critic Dennis Walder suggests that Lewis Nkosi in Tasks and Masks is ""particularly persuasive on modern African poetry."" Nkosi cites Ranaivo, Rabearivelo, Rabemananjaro as cosmopolitan Malagasy poets; Walder suggests that these poets ""elicit from Nkosi close and sympathetic attention, and a convincing application of his overall argument - announced at the start as an obsessive idea that African writers are 'easily divisible' into two groups: those who see their society as unchanging, like a mask turned perpetually in the artist's hands, 'each time revealing nothing more than what it is, the work of some skillful carver who originally imparted to it its outstanding features'; and those writers who conceive 'of the act of writing as the carrying out of social tasks'."" Walder writes, ""As Nkosi applies this distinction, the remarkably rich and varied literary manifestations of the continent do begin to fall into a kind of order. And its application enables the critic to proceed to the level of insight which relates the different uses of, for example, traditional Malagasy folk poetry - the so-called hain-teny or proverb formula - by the poets concerned, to their respective personal and class positions: Rabearivelo, the 'deracinated' intellectual whose reworking of the hain-teny conceits read like translation; and Ranaivo, the rediscoverer of his own culture who integrates the hain-teny into his work, thus bringing together 'task' and 'mask'."" ",
Poets from Abroad (1958-06-13),apdp.cite.000011,Poets from Abroad,Book Review,Newspaper,1958-06-13,The Times Literary Supplement,p. 332,http://link.galegroup.com/apps/doc/EX1200313524/GDCS?u=linc74325&sid=GDCS&xid=86bf808e,GALE|EX1200313524,2019-07-01,"""The Times Literary Supplement Historical Archive,""","A short review of the collection Poets in South Africa. Author suggests that ""the insularity of the British"" is emphasized by this collection, as he doubts many would have heard of the poets in the collection. The author suggests that the poets in the collection ""are...a remarkably talented lot with, among them, a few who would be outstanding company, but who are largely unknown outside the Union."" ",
Current Periodicals (1953-02-06),apdp.cite.000012,Current Periodicals,Periodical Review,Newspaper,1953-02-06,The Times Literary Supplement,p. 94,http://link.galegroup.com/apps/doc/EX1200094173/GDCS?u=linc74325&sid=GDCS&xid=ea0dcb4c,GALE|EX1200094173,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Review of a German magazine: ""For readers who are neither Swiss or American, there is something almost incredible about the lavish production of this monthly magazine: founded during the last war, it positively radiates prosperity, of a kind which most of us associate with a past already remote... There are translations of African poetry, of a poem by Mr. Robert Frost and of a story from Mr. Henry Williamson's The Peregrine Saga.""",
Scorning the Sonnet (1983-09-16),apdp.cite.000013,Scorning the Sonnet,Book Review,Newspaper,1983-09-16,The Times Literary Supplement,p. 996,ttp://link.galegroup.com/apps/doc/EX1200442182/GDCS?u=linc74325&sid=GDCS&xid=37c0ed96,GALE|EX1200442182,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Carlin writes of Goodwin's collection: ""The strength of the book is not Ken Goodwin's criticism...but the arrangement and explication of these ten poets according to a scheme which forms a socio-cultural description of African poetry. In this respect, Professor Goodwin is enlightening and instructive, for he places his poets... roughly in the order of their Africanness, their independence of European models."" ",
Publishers are defined by their authors (1983-09-16),apdp.cite.000014,Publishers are defined by their authors,Advertisement,Newspaper,1983-09-16,The Times Literary Supplement,p. 996,https://link.gale.com/apps/doc/EX1200442183/GDCS?u=linc74325&sid=GDCS&xid=f0fe3c96,GALE|EX1200442183,2019-07-01,"""The Times Literary Supplement Historical Archive,""","An advertisement for David Philip, a publisher working with southern African poets and writers. He lists the authors he has published.",
Notes (1917-06-21),apdp.cite.000015,Notes,Event Announcement,Newspaper,1917-06-21,The Times Literary Supplement,p. 298,http://link.galegroup.com/apps/doc/EX1200020886/GDCS?u=linc74325&sid=GDCS&xid=bad9733f,GALE|EX1200020886,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Mr. B. H. Blackwell hopes to publish the following books: ...a new addition to South African poetry by a Lecturer in Philosophy at the University of Cape Town, who now holds a commission in the Machine-Gun Guards.",
From veld-lovers to freedom fighters (1980-11-21),apdp.cite.000016,From veld-lovers to freedom fighters,Book Review,Newspaper,1980-11-21,The Times Literary Supplement,p. 1341,http://link.galegroup.com/apps/doc/EX1200431452/GDCS?u=linc74325&sid=GDCS&xid=b90198f7,GALE|EX1200431452,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Lewis Nkosi reviews the collection of poetry by Guy Butler and Chris Mann. The collection features a multitude of African poets, and has been translated into English for those poets whose language is ""Afrikaans."" This tension is explored by Nkosi, who suggests, ""From the very beginning, English-speaking South Africans have struggled, sometimes fiercely, to forge a new identity out of this double sense of belonging."" Nkosi then mentions poets such as Kunene, Mtsbali, Serote, Gwala, and Sepamla as ""gathered into this poetic enclosure like Zimbabwean freedom fighters brought to makeshift assembly points."" ",
B. H. Blackwell (Forthcoming) (1917-06-07),apdp.cite.000017,B. H. Blackwell (Forthcoming),Book Review,Newspaper,1917-06-07,The Times Literary Supplement,p. 265,http://link.galegroup.com/apps/doc/EX1200020705/GDCS?u=linc74325&sid=GDCS&xid=f05d1581,GALE|EX1200020705,2019-07-01,"""The Times Literary Supplement Historical Archive,""","""A new addition to South African Poetry, by a Lecturer in Philosophy at the University of Cape Town, who now holds a commission in the Machine Gun Guards.""",
