title,authors,pub_title,pub_date,pub_issuenum,start_page,subjects,citation,url,doc_id,dvi_type,image_url
Among the magazines,,The Times Literary Supplement,"June 6, 1980",4028,646,"['Periodicals', 'Pound, Ezra']","""Among the magazines."" The Times Literary Supplement, no. 4028, 6 June 1980, p. 646. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200429466/TLSH?u=linc74325&sid=gale_api&xid=c2b9b6bf,GALE|EX1200429466,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1980-0606-0018']
Wayward and wild,['Jeremy Treglown'],The Times Literary Supplement,"September 10, 2004",5293,32,,"Treglown, Jeremy. ""Wayward and wild."" The Times Literary Supplement, no. 5293, 10 Sept. 2004, p. 32. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200520023/TLSH?u=linc74325&sid=gale_api&xid=d32ee3e4,GALE|EX1200520023,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2004-0910-0032']
Exile in Colchester,['Jonty Driver'],The Times Literary Supplement,"August 3, 2001",5131,21,,"Driver, Jonty. ""Exile in Colchester."" The Times Literary Supplement, no. 5131, 3 Aug. 2001, p. 21. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200505177/TLSH?u=linc74325&sid=gale_api&xid=c7eb9d9b,GALE|EX1200505177,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2001-0803-0021']
Paths to Refinement,"['Gerald Holyoake Moore', 'Gerald Moore']",The Times Literary Supplement,"July 24, 1969",3517,836,"['Echeruo, Michael J.C.']","Moore, Gerald Holyoake, and Gerald Moore. ""Paths to Refinement."" The Times Literary Supplement, no. 3517, 24 July 1969, p. 836. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200360477/TLSH?u=linc74325&sid=gale_api&xid=fbcad7ab,GALE|EX1200360477,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1969-0724-0048']
Poetry Of The New Lands.,,The Times,"February 17, 1916",41092,11,['Poetry'],"""Poetry Of The New Lands."" Times, 17 Feb. 1916, p. 11. The Times Digital Archive.",https://link.gale.com/apps/doc/CS186713681/TTDA?u=linc74325&sid=gale_api&xid=6c150e3b,GALE|CS186713681,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1916-FEB17-011']
All the Trouble in the World,,Financial Times,"November 2, 1996","33,130",XVI,,"""All the Trouble in the World."" Financial Times, 2 Nov. 1996, p. XVI. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305174558/FTHA?u=linc74325&sid=gale_api&xid=b3129049,GALE|HS2305174558,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1996-1102-0050']
Death Of A Moslem Poet,['FROM OUR ALGIERS CORRESPONDENT'],The Times,"January 21, 1932",46036,11,['Poets'],"FROM OUR ALGIERS CORRESPONDENT. ""Death Of A Moslem Poet."" Times, 21 Jan. 1932, p. 11. The Times Digital Archive.",https://link.gale.com/apps/doc/CS186197557/TTDA?u=linc74325&sid=gale_api&xid=5b2a6bd2,GALE|CS186197557,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1932-JAN21-011']
The Allusive Traditions of Africa,"['Gerald Holyoake Moore', 'G. Moore']",The Times Literary Supplement,"April 23, 1971",3608,468,,"Moore, Gerald Holyoake, and G. Moore. ""The Allusive Traditions of Africa."" The Times Literary Supplement, no. 3608, 23 Apr. 1971, p. 468. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200371915/TLSH?u=linc74325&sid=gale_api&xid=e4c806c8,GALE|EX1200371915,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1971-0423-0008']
Sophiatown style,['Dennis Walder'],The Times Literary Supplement,"August 27, 1982",4143,928,,"Walder, Dennis. ""Sophiatown style."" The Times Literary Supplement, no. 4143, 27 Aug. 1982, p. 928. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200162121/TLSH?u=linc74325&sid=gale_api&xid=4feb742a,GALE|EX1200162121,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1982-0827-0016']
Poets from Abroad,"['Gordon Wharton', 'Gordon Wharton']",The Times Literary Supplement,"June 13, 1958",2937,332,"['Curnow, Allen', 'Corman, Cid']","Wharton, Gordon, and Gordon Wharton. ""Poets from Abroad."" The Times Literary Supplement, no. 2937, 13 June 1958, p. 332. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200313524/TLSH?u=linc74325&sid=gale_api&xid=093b3efb,GALE|EX1200313524,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1958-0613-0012']
