ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00227,Aliyah Abdul-Salaam ,~,Abdul-Salaam,,,Egypt,Northern Africa,Index,,,,"(maybe, no books?)"
ap.per.00237,Fathi Abdullah,*,Abdullah,,,Egypt,Northern Africa,Index,,,,
ap.per.00228,Yasser Abdullatif,*,Abdullatif,,,Egypt,Northern Africa,Index,,,,
ap.per.00336,Lionel Abrahams,*,Abrahams,,,South Africa,Southern Africa,Index,,,,
ap.per.00075,Catherine Acholonu,,Acholonu,,,Nigeria,Western Africa,Anthology,F,,, (blue African anthology)
ap.per.00099,Kobena Eyi Acquah,,Acquah,,,Ghana,Western Africa,Anthology,F,,,
ap.per.00137,Mussa Mohammed Adem,,Adem,,,Eritrea,Eastern Africa,Anthology,M,,,
ap.per.00059,Patience Agbabi,,Agbabi,,,Nigeria,Western Africa,Anthology,F,,,
ap.per.00019,Sarah Anyang Agbor,*,Agbor,,,Cameroon,Middle Africa,Index,F,,,
ap.per.00096,Ama Ata Aidoo,,Aidoo,,,Ghana,Western Africa,Anthology,F,,,
ap.per.00012,Nol Alembong,,Alembong,,,Cameroon,Middle Africa,Anthology,M,,,
ap.per.00174,Sahro Ali,,Ali,,,Somalia,Eastern Africa,Anthology,F,,,
ap.per.00011,Viola Allo,,Allo,,,Cameroon,Middle Africa,Anthology,F,,,
ap.per.00014,Fernando D’Almeida,,Almeida,,,Cameroon,Middle Africa,Anthology,M,,,
ap.per.00074,Ifi Amadiume,,Amadiume,,,Nigeria,Western Africa,Anthology,F,,,
ap.per.00381,Julia Shalongo-Shandje Ndinelago Amukoshi,*,Amukoshi,,,Namibia,Southern Africa,Index,,,,
ap.per.00154,Jared Angira,*,Angira,,,Kenya,Eastern Africa,Index,M,,,
ap.per.00061,Abonyi Animashon,,Animashon,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00101,Ishmael Fifi Annobil,,Annobil,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00097,Kofi Anyidoho,,Anyidoho,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00017,Joyce Ashuntantang,*,Ashuntantang,,,Cameroon,Middle Africa,Index,F,,,
ap.per.00255,Malika El Assimi,*,Assimi,,,Morocco,Northern Africa,Index,,,,
ap.per.00261,Boujem El Auofi,*,Auofi,,,Morocco,Northern Africa,Index,,,,
ap.per.00280,Bahia Mahmud Awah,*,Awah,,,Western Sahara,Northern Africa,Index,,,,
ap.per.00102,Kofi Awoonor,,Awoonor,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00229,Bahaa Awwad,*,Awwad,,,Egypt,Northern Africa,Index,,,,
ap.per.00115,Iyamade Azeli,*,Azeli,,,Sierra Leone,Western Africa,Index,F,,,(CHECK SPELLING)
ap.per.00060,Unoma Nguemo Azuah,,Azuah,,,Nigeria,Western Africa,Anthology,F,,,
ap.per.00262,Mohamed Bachkar,*,Bachkar,,,Morocco,Northern Africa,Index,,,,
ap.per.00307,Gabeba Baderoon,*,Baderoon,,,South Africa,Southern Africa,Index,,,,
ap.per.00256,Amina El Bakouri,*,Bakouri,,,Morocco,Northern Africa,Index,,,,
ap.per.00314,Shabbir Banoobhai,*,Banoobhai,,,South Africa,Southern Africa,Index,,,,
ap.per.00263,Ahmed Barakat,*,Barakat,,,Morocco,Northern Africa,Index,,,,
ap.per.00178,Mildred Barya,,Barya,,,Uganda,Eastern Africa,Anthology,F,,,
ap.per.00172,Samiya Bashir,,Bashir,,,Somalia,Eastern Africa,Anthology,F,,,
ap.per.00041,Olinda Beja,*,Beja,,,Sao Tome & Principe,Middle Africa,Index,F,,,
ap.per.00279,Tahar Bekri,*,Bekri,,,Tunisia,Northern Africa,Index,,,,
ap.per.00210,Mustapha Benfodil,*,Benfodil,,,Algeria,Northern Africa,Index,,,,
