"airtableID","Unique-ID","Name last","Name given","Name alt","Name markdown","Featured","Ethnicity","Country of Nationality","Country","Region","Gender","birth-year","birth-decade","birth-place","birth_spatial.city","birth_spatial.country","death-year","death-place","Education","Selected Works Title","Poems","Poetry Collections","Speeches-Lectures-Interviews-Performances-Critical Media","Selected Works Years Published","Publisher Name","Publisher Location (City and Country","Languages spoken","Publisher Type","Authority","Bio","Bio Creator","Notes","Bio Sources (MLA)","Contact","Status","In the News?"
"recHr5IvhRwW5uXeM","apdp.cap.000001","Abdul-Salaam","Aliyah","","[Abdul-Salaam, Aliyah](apdp.cap.000001)","","","","Egypt","Northern Africa","F","","","","","","","","","","","","","","","","","","","","","Found in Angry Voices anthology","","","",""
"recu6Iyg8T0ZElweF","apdp.cap.000002","Abdullah","Fathi","","[Abdullah, Fathi](apdp.cap.000002)","","","","Egypt","Northern Africa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recLX7vDuB4og5vRF","apdp.cap.000003","Abdullatif","Yasser","","[Abdullatif, Yasser](apdp.cap.000003)","","","","Egypt","Northern Africa","M","","","","","","","","","","","","","","","","","","","","","Found in Angry Voices anthology","","","All I can find are entries of a Sudanese actor of the same name.",""
"recgrczfw0bMiR5V4","apdp.cap.000004","Abrahams","Lionel","","[Abrahams, Lionel](apdp.cap.000004)","","Afrikaner","","South Africa","Southern Africa","M","1928","1920","","","","2004","","Hope Home, Damelin College and Wits University","
","
","Thresholds of Tolerance (1975); 
Journal of a New Man (1984); 
The Writer in the Sand (1988); 
A Dead Tree Full of Live Birds (1995); 
The Celibacy of Felix Greenspan (1977);
The White Life of Felix Greenspan (2002).
","","","","","","","https://viaf.org/viaf/93291135/","Lionel Abrahams was born in 1928 in Johannesburg, South Africa. A poet, novelist and essayist, Abrahams is most well known for his poetry. He published five collections of poems, including Journal of a New Man (1984), The Writer in Sand (1988), A Dead Tree Full of Live Birds (1988), and Chaos Theory of the Heart (2005). Abrahams attended Damelin College and Wits University, both located in South Africa. In 2004, he died in Johannesburg.","","","https://www.poetryinternational.org/pi/poet/5380/Lionel-Abrahams/en/tile, The Independent "" Lionel Abrahams ""Mishievous Guru of South African Letters."", Wikipedia,","","Question about listing publishing house and years published. Should this all just go in to the column of selected works instead of making them separate?",""
"recuAJjtuPD9BVC8v","apdp.cap.000005","Abu-Talib","Mohamed","","[Abu-Talib, Mohamed](apdp.cap.000005)","","","","Morocco","Northern Africa","M","1933","1930","Fes, Morocco","""Fes""","""Morocco""","2000","Rabat","Jacksonville State University BA in English and BS in Education (1995), Howard University MA in English (1964), and Georgetown University. Studied Spanish in Guanajuato University (Mexico) and Santander (Spain); German, linguistics and literature at Heidelberg University (Germany).","","","
","","","","","Arabic, English, Spanish and German","","https://viaf.org/viaf/21912866/","Mohammed Abu Talib was born in 1933 in Fes, Morocco. A poet and scholar, Talib is also known for founding the discipline of English studies in Morocco. He spoke and taught Arabic, English, Spanish and German at several universities including the Fes and Rabat Faculty of Letters. Talib is the author of the poetry collection Whispers of Grass (1971) and co-author of the textbook A Basic Course in Modern Arabic (2003). He died in 2001.","","","Poetry International, Morrocco World News https://www.poetryinternational.org/pi/poet/3824/Mohammed-Abu-Talib/en/tile","","Was only able to find/use one source",""
"recWPznVyzgsaZKPp","apdp.cap.000006","Acholonu","Catherine","Obianuju","[Acholonu, Catherine 'Obianuju'](apdp.cap.000006)","","","","Nigeria","Western Africa","F","1951","1950","","","","","","","","","
","","","","","","","https://viaf.org/viaf/67126602/","Catherine Acholonu was born in 1951 in Orlu, Nigeria. Acholonu is the author of four poetry collections, including The Spring’s Last Drop (1985) and  Nigeria in the Year 1999 (1985) Acholonu, is also known for her scholarship, including the book Motherism: The Afrocentric Alternative to Feminism. Acholonu attended the University of Düsseldorf and was a professor at the Alvan Ikoku Federal College of Education in Owerri. She died in 2014.",""," (blue African anthology)","","","",""
"recWhpWq3PK6BC6jb","apdp.cap.000007","Acquah","Kobena Eyi","","[Acquah, Kobena Eyi](apdp.cap.000007)","","","","Ghana","Western Africa","F","1952","1950","Winneba, Ghana","""Winneba""","""Ghana""","","N/A","University of Ghana, Legon and Ghana Law School","
","","The Man Who Died: Poems 1974 -1979, Music for a Dream Dance (Asempa,1989); Rivers Must Flow and No Time For A Masterpiece (Woeli,1995).
","","","['Asempa Publishers', 'Woeli']","Accra, Ghana; Ghana","","","https://viaf.org/viaf/174685856/","Kobena Eyi Acquah was born in 1952 in Winneba, Ghana. A lawyer and poet, Acquah is the author of the 1984 poetry collection The Man Who Died: Poems 1974 -1979, which won the 1985 British Airways Commonwealth Prize for Poetry. Other collections include: Music for a Dream Dance (1989), Rivers Must Flow and No Time For A Masterpiece (1995). Acquah attended the University of Ghana, Legon and Ghana Law School. He was a fellow of the International Writing program at the University of Iowa and the 1993 President of the Ghana Association of Writers.","","","https://writersprojectghana.com/eyi_acquah/
https://www.proquest.com/openview/174a6583a610935a29f54930b648d414/1?pq-origsite=gscholar&cbl=1818960
https://en.wikipedia.org/wiki/Kobena_Eyi_Acquah  Nazareth, Peter. “World Literature in Review: Uganda.” World Literature Today, vol. 70, no. 2, Spring 1996, p. 459. EBSCOhost, search-ebscohost-com.libproxy.unl.edu/login.aspx?direct=true&db=aph&AN=9606253588&site=ehost-live.
","","Could not find date of death - perhaps still alive. Note: all his books are out of print",""
"recFWhhJv35tyJrQl","apdp.cap.000008","Adem","Mussa Mohammed","","[Adem, Mussa Mohammed](apdp.cap.000008)","","","","","Eastern Africa","M","","","","","","","","","","","
","","","","","","","","","","","","","Could not find info",""
"recnBADeLrzwkJZvi","apdp.cap.000009","Agbabi","Patience","","[Agbabi, Patience](apdp.cap.000009)","","","","Nigeria","Western Africa","F","1965","1960","London, United Kingdom
","""London""","""United Kingdom""","","N/A","Pembroke College, MA in Creative Writing from the University of Sussex (2002)","
","","R.A.W. (Gecko Press, 1995), Transformatrix (Canongate Books, 2000), Bloodshot Monochrome (Canongate UK, 2008), Telling Tales (Canongate Uk, 2014), The Infinite (Canongate Books, 2020)
","","","['Gecko Press', 'Canongate Books']","UK","","","https://viaf.org/viaf/27342657/","Patience Agababi was born in 1965 in London, Britain to Nigerian parents, but was later raised in Wales by a foster family. She attended Pembroke college and earned an MA in Creative Writing from the University of Sussex in 2002. Afterwards, she became an associate Creative Writing Lecturer at the University of Wales, Cardiff. She is the author of several collections of poetry including, R.A.W. (1995), Transformatrix (2000), Bloodshot Monochrome (2008), Telling Tales (2014), and The Infinite (2020). In 1997, R.A.W received the Excelle Literary Award. In 2014, Telling Tales was shortlisted by the Poetry Society for the Ted Hughes Award. Agbabi also served as a fellow of the Royal Society of Literature in 2017.","","","https://en.wikipedia.org/wiki/Patience_Agbabi, https://poetryarchive.org/poet/patience-agbabi/, https://literature.britishcouncil.org/writer/patience-agbabi","","",""
"recPBD8ueYVJMRtU9","apdp.cap.000010","Agbor","Sarah Anyang","","[Agbor, Sarah Anyang](apdp.cap.000010)","","","","Cameroon","Middle Africa","F","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/306126661/","","","","","","All I've found is that Agbor is the Commisioner of Human Resources, Science and Technology at the African Union and that she wrote a poem called ""Cameroon: I too, sing Cameroon"" inspired by Langston Hughes and some conflicts in Cameroon around language.",""
