"airtableID","title","Unique ID","Article title","Document type","Article Date (formatted)","[publication]","publisher","Source page no","Source link","Gale ID","Source access date","rights_holder","[archive]","Excerpt","works","[events]","subjects","Tags","Notes","Permissions","[news item roles]","Completion Status","person","contributor.name","creator.name","topics-decade","commentaries_relation","Related Event Omeka ID","Contributor Omeka ID","Publication Internal ID","site section"
"rec25bhbgXgIRYG5k","‘Poets are the tramps of literature’ (2012-06-16)","apdp.news.002302","‘Poets are the tramps of literature’","News Report","2012-06-16","['rec3qJ9cAS12R9eSf']","[""The Times""]","12[S]","https://link.gale.com/apps/doc/IF0504435769/TTDA?u=linc74325&sid=gale_api&xid=404d31b4","GALE|IF0504435769","2024-10-08","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The piece explores the role of poets in the literary world, portraying them as outsiders or ""tramps"" who often operate on the margins of mainstream literary culture. Armitage discusses the creative and social aspects of poetry, reflecting on the perception of poets as independent figures who resist conventional literary norms. The piece examines the challenges poets face, particularly the lack of financial stability, yet highlights the enduring value and significance of poetry as an art form.","","['rec2dPNBleGME96s8']","""[The South Bank Show](apdp.event.000012)""","[""poetry reading"", ""literary event""]","","© Times Newspapers Limited.","['recmo68jeIK1aXsPv', 'reciTUTbm0acagrUx', 'recAqIOekeTqUbUZ4']","Publish","""[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Mentioned Poet;;;[Heaney, Seamus]()|Mentioned Poet;;;[Armitage, Simon]()|Writer;;;[Armitage, Simon]()|Article Author""","[""Soyinka , Wole 'Akinwande Oluwole Babatunde'""]","[""Armitage, Simon""]","2010","""[Wole Soyinka in The Times Advertisements and Announcements between 1965 and 1983](apdp.commentary.000003)""","","","[""apdp.publication.000005""]",""
"recBOb2mYBW9Cka88","100 PRINCETON (2005-10-21)","apdp.news.002354","100 PRINCETON","Advertisement","2005-10-21","['rechlrrQ3ggxkp9tc']","[""The Times Literary Supplement""]","12","https://link.gale.com/apps/doc/EX1200525142/TLSH?u=linc74325&sid=gale_api&xid=3a13a1f0","GALE|EX1200525142","2024-10-14","[""The Times Literary Supplement Historical Archive""]","['recPtoWyYeZuupAcO']","This advertisement recommends J.M. Coetzee's book 'Landscape with Rowers' in which he translates six poets from the Netherlands.","""[Landscape with Rowers (2004)](apdp.work.000861)""","","","[""advertisement"", ""collection"", ""translation""]","","© Times Newspapers Limited.","['recdfZHvyzTccF0O8']","Publish","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Translator;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Article Author""","[""Coetzee, John Maxwell ' -J. M. '""]","[""Coetzee, John Maxwell ' -J. M. '""]","2000","","","","[""apdp.publication.000001""]",""
"recMjzuoES4RQzf9P","A delicate lack of rant (1973-03-29)","apdp.news.002154","A delicate lack of rant","Book Review","1973-03-29","['rec3qJ9cAS12R9eSf']","[""The Times""]","12","https://link.gale.com/apps/doc/CS201554045/TTDA?u=linc74325&sid=gale_api&xid=973a9009","GALE|CS201554045","2024-10-09","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","This is a very important book. It contains 584 poems by poets from Wilfrid Scanwen Blunt to  Brien Patten, and it has no precedent in range or scale. The reviewer discusses the balance and restraint found in artistic and literary expressions of the book, where the absence of excessive emotional outbursts or aggressive tones (""ranting"") enhances the effectiveness of the work. By focusing on measured, thoughtful, and understated presentations, the piece reflects on how moderation in tone can often produce a more profound impact on audiences compared to overly dramatic or forceful styles. ","""[The Oxford Book of Twentieth Century English Verse (1973)](apdp.work.000105)""","","","[""review"", ""book review"", ""anthology""]","","© Times Newspapers Limited.","['recSVpXSzc94JHf5H']","Publish","""[Madge, Charles Henry](apdp.person.itn.000235)|Mentioned Poet""","[""Madge, Charles Henry""]","","1970","","","","[""apdp.publication.000005""]",""
"recr6lDe86frYGozv","A Minority Art (1959-06-18)","apdp.news.002165","A Minority Art","Book Review","1959-06-18","['rec3qJ9cAS12R9eSf']","[""The Times""]","13","https://link.gale.com/apps/doc/CS219372754/TTDA?u=linc74325&sid=gale_api&xid=4a0f1d94","GALE|CS219372754","2024-10-07","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","This is a poetry anthology by 39 South African writers, including those who were not born in the country but contributed to its European affairs, creative and social development. In its introduction by Guy Butler, he said: it is a minority art, divorced from the Afrikaans, the African, Coloured and the Asiatic majority.  It discusses the status of poetry as a niche art form, often appreciated by a select audience rather than the mainstream. It addresses how poetry, despite being a powerful form of artistic expression, struggles to gain widespread popularity compared to other forms of literature. The piece also reflects on the role of poets in society and the challenges they face in a world that may not fully recognize the value of their contributions. Poetry is presented as a minority pursuit, cherished by few but deeply impactful.","""[A Book of South African Verse (1968)](apdp.work.000702)""","","","[""book review"", ""anthology"", ""south africa""]","","© Times Newspapers Limited.","['recTQ16Uoo4FRFuNv', 'rec4d1kHO0BAUq7BN', 'rec4iLHlvxniQrDR2', 'rec4GJyTy7BPoMbaV']","Publish","""[Campbell, Roy](apdp.person.itn.000514)|Mentioned Poet;;;[Campbell, Roy](apdp.person.itn.000514)|Article Author;;;[Plomer, William](apdp.person.itn.000132)|Mentioned Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.itn.000001)|Mentioned Poet;;;[Clouts, Sydney](apdp.person.itn.000640)|Mentioned Poet""","[""Campbell, Roy"", ""Plomer, William"", ""Delius, Anthony 'Ronald St. Martin'"", ""Clouts, Sydney""]","[""Campbell, Roy""]","1950","","","","[""apdp.publication.000005""]",""
"recK3IGHTg2FA55MP","A torch kept burning (1994-08-08)","apdp.news.002295","A torch kept burning","Periodical Review","1994-08-08","['rec3qJ9cAS12R9eSf']","[""The Times""]","29","https://link.gale.com/apps/doc/IF0502063323/TTDA?u=linc74325&sid=gale_api&xid=e19c55db","GALE|IF0502063323","2024-10-09","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article ""A Torch Kept Burning"" reflects on the legacy and continued influence of Alan Paton, exploring how their ideas or ideals have been preserved and passed down through time. The piece discusses the ways in which this ""torch"" of his influence has remained relevant and impactful, likely through cultural, historical, or political lenses. It examines both the historical context and the ongoing significance of this legacy.","","","","[""south africa"", ""biography""]","","© Times Newspapers Limited.","['reclGAPaWhZmmbTYe']","Publish","""[Paton, Alan](apdp.person.itn.000391)|Mentioned Poet""","[""Paton, Alan""]","","1990","","","","[""apdp.publication.000005""]",""
"recDrBPmU48Mxd4vM","African literature's hero honoured (2007-06-13)","apdp.news.002204","African literature's hero honoured","News Report","2007-06-13","['rec3qJ9cAS12R9eSf']","[""The Times""]","22","https://link.gale.com/apps/doc/IF0503532000/TTDA?u=linc74325&sid=gale_api&xid=dfd38517","GALE|IF0503532000","2024-10-09","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article celebrates the recognition of a prominent figure, Chinua Achebe, in African literature for their significant contributions to the literary landscape. The piece highlights the author's impact on storytelling, culture, and identity, emphasizing how their work has inspired generations of writers and readers. It discusses various accolades received by the author, reflecting a growing appreciation for African literature in the global context. The article also addresses the broader themes present in the author’s works, including the struggle for freedom, cultural heritage, and the complexities of modern African life. This acknowledgment not only honors the individual’s achievements but also elevates the importance of African narratives in the literary canon.","","","","[""african literature"", ""nigeria"", ""prize""]","","© Times Newspapers Limited.","['rec6SKvyw5zBJBTXG']","Publish","""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Mentioned Poet""","[""Achebe, Chinua 'Albert Chinualumogu'""]","","2000","","","","[""apdp.publication.000005""]",""
"recCCsqEwsljRZfdK","Afrikaner writers' war on the censor (1975-07-16)","apdp.news.002183","Afrikaner writers' war on the censor","News Report","1975-07-16","['rec3qJ9cAS12R9eSf']","[""The Times""]","5","https://link.gale.com/apps/doc/CS85556464/TTDA?u=linc74325&sid=gale_api&xid=4a7d2c4c","GALE|CS85556464","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article discusses the growing resistance among Afrikaner writers against censorship imposed by the apartheid regime in South Africa. It highlights the efforts of authors to assert their freedom of expression and challenge the restrictions placed on their literary works. The article emphasizes the significance of literature as a tool for social commentary and political resistance, showcasing how writers use their craft to confront oppressive systems and advocate for change. Interviews and examples of notable authors are included, revealing their commitment to authenticity and the importance of voice in the face of censorship. And underscores the broader implications of these struggles for artistic freedom and the role of literature in shaping societal discourse during a tumultuous period in South African history.","","['recxjwHh9QSBtrxM9']","""[Trial of Breyten Breytenbach](apdp.event.000002)""","[""apartheid"", ""arrest"", ""south africa""]","","© Times Newspapers Limited.","['reclNdFZ6u0aDdbIl']","Publish","""[Breytenbach, Breyten](apdp.person.itn.001295)|Mentioned Poet""","[""Breytenbach, Breyten""]","","1970","","","","[""apdp.publication.000005""]",""
"recur2UWzoiMrgGtk","An author m search of humility (1991-10-25)","apdp.news.002153","An author m search of humility","Critical Article","1991-10-25","['rec3qJ9cAS12R9eSf']","[""The Times""]","15","https://link.gale.com/apps/doc/IF0501892974/TTDA?u=linc74325&sid=gale_api&xid=85bf827b","GALE|IF0501892974","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article looks into the personal and professional journey of an acclaimed author and poet, Ben Okri, who grapples with the concept of humility in the literary world. It explores the tension between an author's success and the desire for authenticity, highlighting how public recognition can create a disconnect from one's true self and values. Through interviews and reflections, the article illustrates the author's quest to remain grounded amidst fame and critical acclaim. It examines the impact of literary expectations on creativity and self-perception, revealing the struggles of maintaining integrity in a competitive environment. Also, the piece tells of the importance of humility as a guiding principle for writers, suggesting that genuine connection to one's work and audience is essential for lasting impact.","","['rectspkl1efPFHRX1']","""[Booker Prize](apdp.event.000107)""","[""literature"", ""african literature"", ""prize""]","","© Times Newspapers Limited.","['rec639IzzrvnOOxuZ']","Publish","""[Okri, Ben](apdp.person.itn.000331)|Mentioned Poet""","[""Okri, Ben""]","","1990","","","","[""apdp.publication.000005""]",""
"recte8VYNHbgFNra7","An ex-convict runs out of convictions (1993-12-09)","apdp.news.002107","An ex-convict runs out of convictions","News Report","1993-12-09","['rec3qJ9cAS12R9eSf']","[""The Times""]","37","https://link.gale.com/apps/doc/IF0500646700/TTDA?u=linc74325&sid=gale_api&xid=a788ffdd","GALE|IF0500646700","","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article explores the life of a former convict, Breyten Breytenbach, who struggles to reintegrate into society after serving time. It delves into the challenges he faces as he attempts to rebuild his life, grappling with the stigma of his past and the complexities of navigating a world that often views ex-convicts with suspicion. Through personal anecdotes and reflections, the article highlights the emotional and psychological toll of incarceration, as well as the societal barriers that hinder successful rehabilitation. The narrative also touches on themes of redemption, personal responsibility, and the search for a new identity. It emphasizes the importance of compassion and understanding in helping former inmates find their footing and contribute positively to society.","","['recB0epE69obeD48c', 'recNu20gGVvzRMsod']","""[Release of Breyten Breytenbach](apdp.event.000032);;;[Imprisonment of Breyten Breytenbach](apdp.event.000062)""","[""arrest"", ""south africa"", ""exile"", ""imprisonment""]","","© Times Newspapers Limited.","['recpEqMX5ndtRLCIR']","Publish","""[Breytenbach, Breyten](apdp.person.itn.001295)|Mentioned Poet""","[""Breytenbach, Breyten""]","","1990","","","","[""apdp.publication.000005""]",""
"recbnx0lCClmmZEWU","Ancient And Modern In English Verse (1956-07-19)","apdp.news.002265","Ancient And Modern In English Verse","Critical Article","1956-07-19","['rec3qJ9cAS12R9eSf']","[""The Times""]","13","https://link.gale.com/apps/doc/CS218846963/TTDA?u=linc74325&sid=gale_api&xid=ca55645c","GALE|CS218846963","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article examines the interplay between traditional themes and contemporary expressions in English poetry. It reflects on how modern poets draw inspiration from ancient texts and styles, creating a dialogue between past and present. The piece discusses various poets and their works, highlighting the ways in which they incorporate classical motifs, forms, and techniques while addressing contemporary issues and experiences. The article emphasizes the richness of this fusion, showcasing how modern English verse can both honor and reinvent ancient traditions. It underscores the ongoing relevance of historical influences in shaping the voices of today's poets and celebrates the dynamic evolution of English literature. The discussion also points to the importance of this literary heritage in understanding the broader cultural and artistic movements within the English-speaking world","","","","[""censorship"", ""african literature""]","","© Times Newspapers Limited.","['recxskwGXjmqIqn8P', 'recBV0lZ6w8Av2Qaf']","Publish","""[Campbell, Roy](apdp.person.itn.000514)|Mentioned Poet;;;[Plomer, William](apdp.person.itn.000132)|Mentioned Poet""","[""Campbell, Roy"", ""Plomer, William""]","","1950","","","","[""apdp.publication.000005""]",""
