"airtableID","Unique ID","Primary Field","Title","Work type","Year","publisher","spatial.country","spatial.city","Page no","Issue","Volume","Source link","[commentaries]","person","Complete","news_items","name-major-poet","person-author","topics-decade","commentaries_relation","References","site section"
"rec2RvvncgzHU6g2X","apdp.work.000001","The Chosen Tongue: English writing in the tropical world (1970)","The Chosen Tongue: English writing in the tropical world","Single Author|Full Length","1970","[""Longmans""]","[""England""]","[""London""]","","",""," - ","['rec3epTjewMgomD0c']","""[Okigbo, Christopher](apdp.person.itn.001150)|Mentioned Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Mentioned Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Mentioned Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.itn.000828)|Mentioned Poet""","","","","","1970","[""[Western Patronization: An Examination of 20th Century Critique of African Writing—a look at 3 TLS Articles. “Voice of the Poets,” by Patrick Dickinson, “The Chosen Tongue: English Writing InThe Tropical World” by Norman Jeffares, and “Scorning the Sonnet” by M.M. Carlin](apdp.commentary.000004)""]","",""
"recop8XDMc2PeYiw2","apdp.work.000002","Country of My Skull (1998)","Country of My Skull","Single Author|Selected Works","1998","[""Random House""]","[""United States""]","[""New York""]","","",""," - ","","""[Krog, Antjie](apdp.person.itn.000980)|Poet;;;[Krog, Antjie](apdp.person.itn.000980)|Work Author""","","""[Witness to man's inhumanity (1999-01-24)](apdp.news.000159);;;[Hungry for More (2007-11-04)](apdp.news.000561);;;[Out of South Africa (2004-06-27)](apdp.news.000560)""","","[""Krog, Antjie""]","1990","","",""
"recbT644O14fELliY","apdp.work.000003","Friend of My Youth (1990)","Friend of My Youth","Anthology","1990","["" McClelland and Stewart""]","","","","","","","","""[Munro, Alice ' -Alice Ann Laidlaw ']()|""","True","""[Who's Reading Whom (1990-10-28)](apdp.news.000509)""","","","1990","","",""
"rec36CETcNYW7lkDk","apdp.work.000004"," Petrarch and His World (2002)"," Petrarch and His World","Single Author|Full Length","2002","[""Indiana University Press""]","[""United States""]","","","","","","","""[Bishop, Morris Gilbert]()|Author;;;[Bishop, Morris Gilbert]()|Work Author""","True","""[Who's Reading Whom (1990-10-28)](apdp.news.000509)""","","[""Bishop, Morris Gilbert""]","2000","","",""
"recOvGmoWYtrZPQaF","apdp.work.000005","Anthills of the Savannah  (1987)","Anthills of the Savannah ","Single Author|Full Length","1987","[""Heinemann""]","[""England""]","","p. 240","",""," - ","","","","""[What must a people do? (1987-09-20)](apdp.news.000310);;;[Best Sellers (1987-10-11)](apdp.news.000313);;;[Monday (1990-10-28)](apdp.news.000319);;;[The Booker shortlist all signed-up (1987-10-04)](apdp.news.000312);;;[Focus on the annual war of words (1987-09-27)](apdp.news.000311);;;[A plea for polyphony (1990-05-18)](apdp.news.000959);;;[Contents (2010-04-02)](apdp.news.000925);;;[NB: Out of darkness (2013-03-29)](apdp.news.000923)""","","","1980","","",""
"recU7ewY1mnktEeHW","apdp.work.000006","There Was A Country  (2013)","There Was A Country ","Single Author|Full Length","2013","[""Penguin Publishing Group""]","[""United States""]","","352","",""," - ","","","","""[War on His Doorstep (2012-09-30)](apdp.news.000352);;;[Pick of the Paperbacks (2013-06-30)](apdp.news.000354);;;[20.05.2013 Abuja, Nigeria (2013-05-24)](apdp.news.000940);;;[Great story (2013-02-08)](apdp.news.000918)""","","","2010","","",""
"recIAbPX3kiE86h1I","apdp.work.000007","Unbecoming Daughters of the Empire (1993)","Unbecoming Daughters of the Empire","Anthology","1993","[""Dangaroo""]","","","","",""," - ","","""[Chew, Shirley]()|Editor;;;[Rutherford, Anna]()|Editor""","","""[Voices of Empire (1993-04-09)](apdp.news.000293)""","","","1990","","",""
"rec1J8aEms1xE30Vn","apdp.work.000008","Fault Lines (1993)","Fault Lines","Single Author|Full Length","1993","[""The Feminist Press""]","","","","",""," - ","","""[Alexander, Meena]()|Author;;;[Alexander, Meena]()|Work Author""","","""[Voices of Empire (1993-04-09)](apdp.news.000293)""","","[""Alexander, Meena""]","1990","","",""
"recyHEioOirWBxQG9","apdp.work.000009","South African Poetry. A New Anthology, with a Foreword by Roy Campbell (1948)","South African Poetry. A New Anthology, with a Foreword by Roy Campbell","Anthology","1948","[""C. A. Roy for Collins""]","","","","",""," - ","","""[Campbell, Roy](apdp.person.itn.000514)|Poet;;;[Butler, Guy](apdp.person.itn.000167)|Poet;;;[Currey, Ralph Nixon 'R. N.'](apdp.person.itn.000253)|Poet;;;[Prince, Frank Templeton 'F. T.'](apdp.person.itn.001105)|Poet;;;[Madge, Charles Henry](apdp.person.itn.000235)|Poet;;;[Plomer, William](apdp.person.itn.000132)|Poet""","","""[Voices from South Africa (2049-07-01)](apdp.news.000047);;;[Roy Campbell (1957-04-28)](apdp.news.000380);;;[The Flaming Terrapin (1958-10-12)](apdp.news.000382)""","","","1940","","",""
"recnp8wwHA6JtJIqN","apdp.work.000010","Skipping Without Ropes (1998)","Skipping Without Ropes","Single Author|Full Length","1998","[""Bloodaxe Books Ltd""]","[""England""]","[""London""]","","","","","","""[Mapanje, Jack 'John Alfred Clement'](apdp.person.itn.000409)|Author;;;[Mapanje, Jack 'John Alfred Clement'](apdp.person.itn.000409)|Work Author""","True","""[Voices from around the world (1999-01-03)](apdp.news.000645)""","","[""Mapanje, Jack 'John Alfred Clement'""]","1990","","",""
