airtableID,Unique ID,Primary Field,Title,Work type,Year,publisher,spatial.country,spatial.city,Page no,Issue,Volume,Source link,[commentaries],person,Complete,news_items,name-major-poet,person-author,topics-decade,commentaries_relation,References
rec476sNZ2psfODm3,apdp.work.000068,Poets in South Africa: An Anthology (1958),Poets in South Africa: An Anthology,Anthology,1958,"[""(T. M.) Maskew Miller""]","[""South Africa""]","[""Cape Town""]",,,, - ,,"""[Campbell, Roy](apdp.person.000514)|Poet;;;[Currey, Ralph Nixon 'R. N.'](apdp.person.000253)|Poet;;;[Madge, Charles Henry](apdp.person.000235)|Poet;;;[Plomer, William](apdp.person.000132)|Poet;;;[Prince, Frank Templeton 'F. T.'](apdp.person.001105)|Poet;;;[Wright, David](apdp.person.000487)|Poet;;;[Butler, Guy](apdp.person.000167)|Poet;;;[Slater, Francis Carey 'F. C.'](apdp.person.001128)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Cope, Robert Knox 'Jack'](apdp.person.000632)|Poet""",,"""[Poets from Abroad (1958-06-13)](apdp.news.000011)""",,,1950,,
,apdp.work.000180,No Longer at Ease (1960),No Longer at Ease,Single Author|Full Length,1960,"[""Heinemann""]","[""England""]","[""London""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220);;;[A plea for polyphony (1990-05-18)](apdp.news.000959);;;[Set Fair for Happiness? (1960-10-14)](apdp.news.000929)""",,,1960,,
,apdp.work.000181,Arrow of God (1964),Arrow of God,Single Author|Full Length,1964,"[""Heinemann""]","[""United States""]","[""Portsmouth""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220);;;[A plea for polyphony (1990-05-18)](apdp.news.000959);;;[A Restless Land (1964-03-26)](apdp.news.000932);;;[Contents (2010-04-02)](apdp.news.000925);;;[Heinemann (1964-03-26)](apdp.news.000943)""",,,1960,,
,apdp.work.000184,The Day Natal Took Off: A Satire (1963),The Day Natal Took Off: A Satire,Single Author|Full Length,1963,"[""Pall Mall Press""]","[""England""]","[""London""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,,
recMgRCPWroEil3Qn,apdp.work.000090,The Voice (1964),The Voice,Single Author|Full Length,1964,"[""Fontana (HarperCollins)""]","[""United States""]","[""New York""]",,,, - ,,"""[Okara, Gabriel](apdp.person.000399)|Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet""",,"""[Paper-backs: Fiction (1973-04-13)](apdp.news.000218)""",,,1960,,
,apdp.work.000177,The Second Round (1966),The Second Round,Single Author|Full Length,1966,"[""Heinemann""]","[""United States""]","[""Portsmouth""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,,
,apdp.work.000185,The Interpreters (1964),The Interpreters,Single Author|Full Length,1964,"[""Heinemann""]","[""United States""]","[""Portsmouth""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,,
,apdp.work.000179,"Sirens, Knuckles, Boots. Mbari Publications, 1963. (1963)","Sirens, Knuckles, Boots. Mbari Publications, 1963.",Single Author|Selected Works,1963,"[""Mbari Publications""]",,,,,, - ,['recgMSHYQqJZszUxt'],"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,"[""[Dennis Brutus; Race, Sports, and Poetry](apdp.commentary.000010)""]",
,apdp.work.000183,Lenrie Peters: Poems (1964),Lenrie Peters: Poems,Single Author|Selected Works,1964,"[""Mbari Publications""]",,,,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,,
,apdp.work.000178,Heavensgate (1962),Heavensgate,Single Author|Selected Works,1962,"[""Mbari Publications""]","[""Nigeria""]","[""Ibadan""]",,,, - ,,"""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.000265)|Poet;;;[Delius, Anthony 'Ronald St. Martin'](apdp.person.000001)|Poet;;;[Okara, Gabriel](apdp.person.000399)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.000930)|Poet;;;[Brutus, Dennis Vincent](apdp.person.000779)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.000828)|Poet;;;[Peters, Lenrie](apdp.person.000030)|Poet;;;[Okigbo, Christopher](apdp.person.001150)|Poet""",,"""[Books of the 1960s-2 (1965-09-16)](apdp.news.000220)""",,,1960,,
