ID,Last Name,Given Name,Alternate Name,Featured,Country,Region,Gender,Selected Works,Authority,Text,Notes
ap.per.00001,Abdul-Salaam,Aliyah,,,Egypt,North Africa,F,,,,Found in Angry Voices anthology
ap.per.00002,Abdullah,Fathi,,,Egypt,North Africa,,,,,
ap.per.00003,Abdullatif,Yasser,,,Egypt,North Africa,M,,,,Found in Angry Voices anthology
ap.per.00004,Abrahams,Lionel,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/93291135/,,
ap.per.00005,Abu-Talib,Mohamed,,,Morocco,North Africa,M,,https://viaf.org/viaf/21912866/,,
ap.per.00006,Acholonu,Catherine,Obianuju,,Nigeria,West Africa,F,,https://viaf.org/viaf/67126602/,, (blue African anthology)
ap.per.00007,Acquah,Kobena Eyi,,,Ghana,West Africa,F,,https://viaf.org/viaf/174685856/,,
ap.per.00008,Adem,Mussa Mohammed,,,Eritrea,East Africa,M,,,,
ap.per.00009,Agbabi,Patience,,,Nigeria,West Africa,F,,https://viaf.org/viaf/27342657/,,
ap.per.00010,Agbor,Sarah Anyang,,,Cameroon,Central Africa,F,,https://viaf.org/viaf/306126661/,,
ap.per.00011,Aidoo,Ama Ata,Christina,Y,Ghana,West Africa,F,,https://viaf.org/viaf/2496581/,"Selected Works
Poems

    On Reading Jackie Kay
    For a Zulu in the Bayous
    Of Gifts and References

Poetry Collections

    Someone Talking to Sometime. The College Press, 1985.
    An Angry Letter in January and Other Poems. Dangaroo Press, 1992.
    Birds and Other Poems. The Feminist Press at CUNY, 1993.
    After the Ceremonies: New and Selected Poems. University of Nebraska Press, 2017.

Speeches, Lectures, Interviews, Performances / Critical Articles, Media:

    Adams, Anne V. (ed.). Essays in Honour of Ama Ata Aidoo at 70: A Reader in African Cultural Studies. Ayebia Clarke Publishing, 2012.
    Allen, Nafeesh. ""Negotiating with the Diaspora: an Interview with Ama Ata Aidoo,"" Scholar & Feminist Online, 2009.
    ""Ama Ata Aidoo in discussion about her play The Dilemma of a Ghost, interviewed by Michael Walling, July, 19, 2006, Accra, Ghana."" https://www.youtube.com/watch?v=VuxPvJqQp0I
    ""Ama Ata Aidoo on feminism in Africa—BBC HARDtalk."" BBC HARDtalk, July, 22, 2014. https://www.youtube.com/watch?v=W_gJwy9yjrk
    ""Ama Ata Aidoo’s humorous speech at launch of Centre for Creative Writing."" GhanaWeb TV, March 16, 2017. https://www.youtube.com/watch?v=9O-rtdihYCU
    ""An Audience with Ama Ata Aidoo at the Royal African Society’s annual literature festival.” Ama Ata Aidoo in conversation with Wangui wa Goro, The Royal African Society, July 14, 2014. https://www.youtube.com/watch?v=Fy_xo4cVpFY
    Azodo, Ada Uzoamaka and G. Wilentz, Emerging Perspectives on Ama Ata Aidoo, Africa Research & Publications, 1999.
    Badoe, Yaba (dir.). The Art of Ama Ata Aidoo (2014), film.
    Kamata, Suzanne. “A Profile of Ama Ata Aidoo.” Literary Mama, Feb. 2016.
    Misra, Aditya. ""Death in Surprise: Gender and Power Dynamics in Ama Ata Aidoo's Anowa."" Journal of Drama Studies, Vol. 6, No. 1, 2012, pp. 81–91.
    Odamtten, Vincent O. The Art of Ama Ata Aidoo: Polylectics and Reading Against Neocolonialism. University Press of Florida, 1994.
    Pujolràs-Noguer, Esther. An African (Auto)biography. Ama Ata Aidoo's Literary Quest: Strangeness, nation and tradition, Lap Lambert Academic Publishing, 2012.

Biography:

Ama Ata Aidoo is one of the best-known African writers today. Her work addresses themes of colonialism, independence, motherhood, and gender in intimate, personal ways alongside commentary on broader social issues. Although Aidoo is best known for her novels Changes: A Love Story and Our Sister Killjoy, which are widely read in women’s literature courses, and her plays The Dilemma of a Ghost and Anowa, which are read and performed all over the world, her prowess as a poet shines as well.

Ama Ata Aidoo was born in Abeadzi Kyiakor, in south central Ghana in 1942. She studied literature at the University of Ghana, won a fellowship to Stanford University, and subsequently accepted visiting professorships in the United States and Africa. Her poetry collections include Birds and Other Poems, Someone Talking to Sometime, and An Angry Letter in January and Other Poems.

(edited from University of Nebraska Press)",
ap.per.00012,al-Isha,Faraj Bou,,,Libya,North Africa,,,,,Found (?) in Banipal
ap.per.00013,Alembong,Nol,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/38941956,,
ap.per.00014,Ali,Sahro,,,Somalia,East Africa,F,,,,
ap.per.00015,Allo,Viola,,,Cameroon,Central Africa,F,,https://viaf.org/viaf/316802279/,,
ap.per.00016,Amadiume,Ifi,,,Nigeria,West Africa,F,,https://viaf.org/viaf/167668/,,
ap.per.00017,Amukoshi,Julia Shalongo-Shandje Ndinelago,,,Namibia,Southern Africa,F,,https://viaf.org/viaf/121147118202826341010/,,
ap.per.00018,Angira,Jared,,,Kenya,East Africa,M,,https://viaf.org/viaf/56736580/,,
ap.per.00019,Animashon,Abonyi,,,Nigeria,West Africa,M,,,,
ap.per.00020,Annobil,Ishmael Fifi,,,Ghana,West Africa,M,,https://viaf.org/viaf/29030364/,,"""Fiifi"" with 2 i's"
ap.per.00021,Anyidoho,Kofi,born George Kofi Nyidevu Awoonor-Williams,,Ghana,West Africa,M,,https://viaf.org/viaf/79047971/,,
ap.per.00022,Ashuntantang,Joyce,,,Cameroon,Central Africa,F,,https://viaf.org/viaf/41652318/,,
ap.per.00023,Ávila Laurel,Juan Tomás  ,,,"Congo, Democratic Republic Of",Central Africa,M,,,,
ap.per.00024,Awah,Bahia Mahmud,,,Western Sahara,North Africa,M,,https://viaf.org/viaf/121075098/,,
ap.per.00025,Awoonor,Kofi,,Y,Ghana,West Africa,M,,https://viaf.org/viaf/97639024/,"Selected Works
Poems

    The Land Endures
    On the Gallows Once
    Etchings from My Mind

Poetry Collections

    Rediscovery and Other Poems. Mbari Publications, 1964.
    Night of My Blood. Doubleday, 1971.
    Ride Me, Memory. Greenfield Review Press, 1973.
    The House by the Sea. Greenfield Review Press, 1978.
    Until the morning after: selected poems, 1963-85. Greenfield Review Press, 1987.
    Latin American and Caribbean Notebook. Africa World Press, 1992.
    The Promise of Hope: New and Selected Poems. University of Nebraska Press, 2014.

Speeches, Lectures, Interviews, Performances / Critical Articles, Media:

    Egudu, Romanus N. Four Modern West African Poets. Nok, 1977.
    Goodwin, K. L. Understanding African poetry: a study of ten poets. Heinemann, 1982.
    University of Washington. “Kofi Awoonor, Poetry and Comments.” Internet Archive, 1979. https://archive.org/details/uwlibraries_oclc14261670.
    University of Washington. “Kofi Awoonor, Songs Of The Village.” Internet Archive, July 9, 2014. https://archive.org/details/uwlibraries_oclc9378354.
    University of Washington. “Kofi Awoonor - African Studies Association Keynote Speech. 1992, Seattle, WA.” SoundCloud, 2015. https://soundcloud.com/uwlibraries/kofi-awoonor-asa-keynote-1992.

Biography:

Kofi Awoonor was born George Awoonor-Williams in Wheta, Ghana, to Ewe parents. He was a poet, literary critic, professor of comparative literature and served as an ambassador for Ghana. Awoonor earned a BA from University College of Ghana, an MA from University College, London, and a PhD in comparative literature from SUNY Stony Brook. He is the author of novels, plays, political essays, literary criticism, and several volumes of poetry, including Rediscovery and Other Poems (1964), Night of My Blood (1971), Ride Me, Memory (1973), The House by the Sea (1978), The Latin American and Caribbean Notebook (1992), and a volume of collected poems, Until the Morning After (1987).

Awoonor’s grandmother was an Ewe dirge singer, and the form of his early poetry draws from the Ewe oral tradition. He translated Ewe poetry in his critical study Guardians of the Sacred Word and Ewe Poetry (1974). Other works of literary criticism include The Breast of the Earth: A Survey of the History, Culture, and Literature of Africa South of the Sahara (1975).

In the early 1970s, Awoonor served as chairman of the Department of Comparative Literature at SUNY Stony Book. He returned to Ghana in 1975 to teach at University College of Cape Coast. In Ghana, he was arrested and tried for suspected involvement in a coup. He was imprisoned without trial and was later released; he wrote about his time in jail in The House by the Sea. Awoonor resumed teaching after his sentence was remitted. In the 1980s, he was the Ghanaian ambassador to Brazil and Cuba and served as ambassador to the United Nations from 1990 to 1994; in 1990 he published Ghana: A Political History from Pre-European to Modern Times.

Awoonor is author of the novels This Earth, My Brother… (1971) and Comes the Voyager at Last: A Tale of Return to Africa (1992). He died in the Westgate shopping mall attack in Kenya in September 2013.

(sourced from Poetry Foundation, 10/8/19)",
ap.per.00026,Awwad,Bahaa,,,Egypt,North Africa,,,,,"Any other names, e.g. ""Sobhi Abde Latif"""
ap.per.00027,Azeli,Iyamade,,,Sierra Leone,West Africa,F,,,,(CHECK SPELLING)
ap.per.00028,Azuah,Unoma Nguemo,,,Nigeria,West Africa,F,,https://viaf.org/viaf/26738512/,,
ap.per.00029,Bachkar,Mohamed,,,Morocco,North Africa,M,,,,found on Poetry International
ap.per.00030,Baderoon,Gabeba,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/29266778,,
ap.per.00031,Bakouri,Amina,,,Morocco,North Africa,F,,,,Found in Poetry International
ap.per.00032,Banoobhai,Shabbir,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/73892274,,
ap.per.00033,Barakat,Ahmed,,,Morocco,North Africa,M,,,,found on Poetry International
ap.per.00034,Barya,Mildred,Kiconco,,Uganda,East Africa,F,,https://viaf.org/viaf/69167056/,,
ap.per.00035,Bashir,Samiya,,,Somalia,East Africa,F,,https://viaf.org/viaf/19371729/,,
ap.per.00036,Beja,Olinda,,,Sao Tome & Principe,Central Africa,F,,https://viaf.org/viaf/78444002,,
ap.per.00037,Bekri,Tahar,,,Tunisia,North Africa,M,,https://viaf.org/viaf/68925320,,
ap.per.00038,Benfodil,Mustapha,,,Algeria,North Africa,M,,https://viaf.org/viaf/12539712/,,
ap.per.00039,Benmoussa,Ouidad,,,Morocco,North Africa,F,,https://viaf.org/viaf/266542621/,,
ap.per.00040,Bennis,Mohammed,,,Morocco,North Africa,M,,https://viaf.org/viaf/12416511,,
ap.per.00041,Bentalha,Mohammed,,,Morocco,North Africa,M,,https://viaf.org/viaf/19553807/,,
ap.per.00042,Berwold,Robert,,,South Africa,Southern Africa,,,,,
ap.per.00043,Besong,Bate,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/80368088/,,
ap.per.00044,Bila,Vonani,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/16873159/,,
ap.per.00045,Biliei,Amanda,,,South Africa,Southern Africa,F,,,,"Could this be Amanda ""Black"" (stage name)?"
ap.per.00046,Bitek,Julianne Okot,,,Uganda,East Africa,F,,https://viaf.org/viaf/106062348,,"Only 1 n in ""Juliane"""
ap.per.00047,Boicha,Limam,,,Western Sahara,North Africa,M,,,,found on Poetry Translation
ap.per.00048,Boneke,Juan Balboa,,,"Congo, Democratic Republic Of",Central Africa,M,,,,
ap.per.00049,Boneza,Raïs Neza,,,"Congo, Democratic Republic Of",Central Africa,M,,https://viaf.org/viaf/227578744/,,
ap.per.00050,Boof,Kola,,,Sudan,North Africa,F,,https://viaf.org/viaf/233531028/,,
ap.per.00051,Botha,Nadine,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/34196260/,,
ap.per.00052,Boudouik,Mohamed,,,Morocco,North Africa,M,,https://viaf.org/viaf/297197326/,,
ap.per.00053,Brew,Kwesi,Osborne Henry ,,Ghana,West Africa,M,,https://viaf.org/viaf/91272505/,,
ap.per.00054,Breytenbach,Breyten,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/300425129/,,
ap.per.00055,Brutus,Dennis,Vincent,,South Africa,Southern Africa,M,,https://viaf.org/viaf/39392638/,,
ap.per.00056,Bulley,Victoria,Adukwei,,Ghana,West Africa,F,,https://viaf.org/viaf/24149912316506210842/,,
ap.per.00057,Busia,Abena,,,Ghana,West Africa,F,,https://viaf.org/viaf/51740768/,,
ap.per.00058,Butake,Bole,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/38146635594941981820/,,
ap.per.00059,Chatti,Leila,,,Tunisia,North Africa,F,,https://viaf.org/viaf/23154739767152990414,,
ap.per.00060,Chellali,Hamida,,,Algeria,North Africa,F,,,,
ap.per.00061,Cheney-Coker,Syl,Cheney,,Sierra Leone,West Africa,M,,https://viaf.org/viaf/79080574/,,
ap.per.00062,Chimombo,Steve,Bernard Miles,,Malawi,East Africa,M,,https://viaf.org/viaf/106950769/,,
ap.per.00063,Chingono,Julius,,,Zimbabwe,East Africa,M,,https://viaf.org/viaf/45719245/,,
ap.per.00064,Chingonyi,Kayombo,,,Zambia,East Africa,M,,https://viaf.org/viaf/35149912591606212659,,
ap.per.00065,Chipasula,Stella P,,,Malawi,East Africa,F,,https://viaf.org/viaf/51924168/,,
ap.per.00066,Chipasula,Frank,,,Malawi,East Africa,M,,https://viaf.org/viaf/93763054/,,
ap.per.00067,Chirikure,Chirikure,,,Zimbabwe,East Africa,M,,https://viaf.org/viaf/59333139/,,
ap.per.00068,Christiansë,Yvette,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/51016807/,,
ap.per.00069,Clark,JP,John Pepper Clark-Bekederemo,,Nigeria,West Africa,M,,https://viaf.org/viaf/91297033/,,
ap.per.00070,Cope,Michael,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/12023618/,,
ap.per.00071,Cronin,Jeremy,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/17276176/,,
ap.per.00072,D'Almeida,Fernando,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/66480405/,,
ap.per.00073,da Silva,Tome Varela,,,Cape Verde,West Africa,M,,https://viaf.org/viaf/314827283/,,
ap.per.00074,Daniel,Mary-Alice,,,Nigeria,West Africa,F,,https://viaf.org/viaf/27149912596206212331,,
ap.per.00075,de Carvalho,Ruy Duarte,Ruy Alberto Duarte Gomes de Carvalho,,Angola,Central Africa,M,"You wake longing to know what happened
Sign
The Children
Saltpeter Sores
Pastoral Song
In the Words of Musurukutu",https://viaf.org/viaf/7385318,,
ap.per.00076,Dema,TJ,Tjawangwa,,Botswana,Southern Africa,F,,https://viaf.org/viaf/296144782721303542620/,,
ap.per.00077,Dendy,Gail,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/63598376,,
ap.per.00078,Deressa,Solomon,,,Madagascar,East Africa,M,,https://viaf.org/viaf/21408976/,,the Solomon Deressa from Ethiopia?
ap.per.00079,Diallo,Kumanthio Zeinab,,,Guinea,West Africa,F,,https://viaf.org/viaf/37054160/,,2 books/ Blue modern African anthology
ap.per.00080,Dipoko,Mbella Sonne,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/114535959/,,
ap.per.00081,Dixon,Isobel,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/9530213/,,
ap.per.00082,Djangrang,Nimrod Ben,,,Chad,Central Africa,M,,,,
ap.per.00083,Djebel,Mourad,,,Algeria,North Africa,M,,https://viaf.org/viaf/22320292/,,
ap.per.00084,Djedja,Beatrice,,,Cote d’Ivoire,West Africa,F,,,,
ap.per.00085,Dladla,Angifi,Proctor,,South Africa,Southern Africa,M,,https://viaf.org/viaf/16886715/,,
ap.per.00086,Doh,Emmanuel Fru,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/17037401/,,
ap.per.00087,Dowling,Finuala,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/39537935/,,
ap.per.00088,Du Plessis,Clinton V.,Vivian,,South Africa,Southern Africa,M,,https://viaf.org/viaf/61153077/,,
ap.per.00089,Ebini,Christmas Atem,,,Cameroon,Central Africa,M,,https://viaf.org/viaf/26340686/,,
ap.per.00090,Ebnu,Mohammed,,,Western Sahara,North Africa,,,,,Found on Poetry Translation
ap.per.00091,Ede,Amatoritsero,"""Godwin""",,Nigeria,West Africa,M,,https://viaf.org/viaf/102734171/,,
ap.per.00092,Ehikhamenor,Victor,Ehighale,,Nigeria,West Africa,M,,https://viaf.org/viaf/48966873,,
ap.per.00093,El Assimi,Malika,,,Morocco,North Africa,,,https://viaf.org/viaf/305977882,,
ap.per.00094,El Auofi,Boujem,,,Morocco,North Africa,,,,,"Could this be ""Boujema"""
ap.per.00095,El-Dinosauri,Osama,,,Egypt,North Africa,,,,,
ap.per.00096,El-Gabry,Magdy,,,Egypt,North Africa,,,,,Found in Angry Voices Anthology
ap.per.00097,Elhillo,Safia,,,Sudan,North Africa,F,,https://viaf.org/viaf/105146461554227731538/,,
ap.per.00098,Ellams,Inua,,,Nigeria,West Africa,M,,https://viaf.org/viaf/106879285/,,
ap.per.00099,Ellis,Hugh,,,Namibia,Southern Africa,,,,,
ap.per.00100,Elmi,Idris Yusuf,,,Djibouti,East Africa,M,,https://viaf.org/viaf/49342208/,,
ap.per.00101,Eppel,John,,,Zimbabwe,East Africa,M,,https://viaf.org/viaf/259565/,,
ap.per.00102,Etwebi,Ashur,,,Libya,North Africa,M,,https://viaf.org/viaf/53816760/,,
ap.per.00103,Fathy,Safaa,,,Egypt,North Africa,F,,https://viaf.org/viaf/39557892/,,—waiting for more work
ap.per.00104,Fortes,Corsino António,,,Cape Verde,West Africa,M,,https://viaf.org/viaf/76333379/,,
ap.per.00105,Fouad,Imad,,,Egypt,North Africa,,,https://viaf.org/viaf/74167637,,
ap.per.00106,Fugard,Sheila Meiring,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/2485138/,,
ap.per.00107,Gachagua,Clifton,,,Kenya,East Africa,M,,https://viaf.org/viaf/305039255/,,
ap.per.00108,Gardini,Genna,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/14146634446341932080/,,
ap.per.00109,Garisch,Dawn,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/21451931,,
ap.per.00110,Garuba,Harry,,,Nigeria,West Africa,M,,,,
ap.per.00111,Girmay,Aracelis,,,Eritrea,East Africa,F,,https://viaf.org/viaf/28922635,,Women I found was born in California
ap.per.00112,GMT,Assefa,,,Ethiopia,East Africa,M,,https://viaf.org/viaf/11478587/,,
ap.per.00113,Gnepo,Werewere-Liking,,,Cameroon,Central Africa,F,,,,
ap.per.00114,Gottschalk,Keith,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/3908135/,,
ap.per.00115,Gray,Stephen,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/56624358/,,
ap.per.00116,Guébo,Josué,Yoroba,,Cote d’Ivoire,West Africa,M,,,,
ap.per.00117,Gwala,Mafika Pascal,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/112719265/,,
ap.per.00118,Gwangwa,Gahlia Njogoh,,,Cameroon,Central Africa,M,,,,
ap.per.00119,Haarhoff,Dorian,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/242865808/,,
ap.per.00120,Hachi,Isman Omar,,,Djibouti,East Africa,M,,,,
ap.per.00121,Haile,Reesom,,,Eritrea,East Africa,M,,https://viaf.org/viaf/69217657/,,
ap.per.00122,Haji,Haji Gora,,,Tanzania,East Africa,M,,https://viaf.org/viaf/43963638/,,
ap.per.00123,Hall,Megan,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/137475085/,,
ap.per.00124,Hambidge,Joan,Helene,,South Africa,Southern Africa,F,,https://viaf.org/viaf/56456166/,,
ap.per.00125,Haresnape,Geoffrey,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/73042725/,, (Loka will look for more)
ap.per.00126,Hassaan,Youssri,,,Egypt,North Africa,M,,,,Found in Angry Voices Anthology
ap.per.00127,Head,Vernon,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/315189354/,,
ap.per.00128,Horn,Peter,Rudolf Gisela,,South Africa,Southern Africa,M,,https://viaf.org/viaf/14782556/,,
ap.per.00129,Horne,Naana Banyiwa,,,Ghana,West Africa,F,,https://viaf.org/viaf/66050872/,,
ap.per.00130,Horwitz,Allan Kolski,,,South Africa,Southern Africa,M,,https://viaf.org/viaf/268813333/,,
ap.per.00131,Hove,Chenjerai,,,Zimbabwe,East Africa,M,,https://viaf.org/viaf/85361612/,,
ap.per.00132,Hussein,Hoda,,,Egypt,North Africa,F,,https://viaf.org/viaf/37203270/,,"Is this ""Huda Husayn"" (1972)"
ap.per.00133,Ifowodo,Ogaga,,,Nigeria,West Africa,M,,,,
ap.per.00134,Ijadjei,Mawuli,,,Ghana,West Africa,M,,https://viaf.org/viaf/283671954,,"Is this ""Mawuli Adjei""?"
ap.per.00135,Ipadeola,Tade,,,Nigeria,West Africa,M,,,,
ap.per.00136,Isaak,Angessom,,,Eritrea,East Africa,M,,,,
